# id,beta
1,2.00696
2,2.23922
3,2.23922
4,2.23922
5,2.83659
6,2.83659
7,2.16988
8,2.01123
9,2.01123
10,2.48919
11,2.36099
12,2.48919
13,2.57003
14,3.22511
15,2.09808
16,2.16795
17,2.12965
18,1.87027
19,1.87027
20,2.83112
21,2.23922
22,2.23922
23,2.23922
24,2.09689
25,2.09689
26,2.09689
27,2.05158
28,2.14011
29,3.22511
30,3.22511
31,1.89527
32,2.48837
33,2.48837
34,1.87976
35,2.70795
36,2.08473
37,1.97628
38,1.99037
39,2.02253
40,3.22511
41,3.22511
42,3.22511
43,2.23922
44,3.22511
45,3.22511
46,3.22511
47,3.22511
48,3.22511
49,3.22511
50,3.22511
51,3.22511
52,3.22511
53,2.70255
54,3.22511
55,3.22511
56,2.70255
57,3.22511
58,2.46717
59,3.22511
60,3.22511
61,3.22511
62,3.22511
63,3.22511
64,3.22511
65,3.22511
66,3.22511
67,3.22511
68,3.22511
69,3.22511
70,3.22511
71,3.22511
72,3.22511
73,3.22511
74,3.22511
75,3.22511
76,3.22511
77,2.46717
78,3.22511
79,3.22511
80,3.22511
81,3.22511
82,3.22511
83,3.22511
84,3.22511
85,3.22511
86,3.22511
87,3.22511
88,3.22511
89,3.22511
90,3.22511
91,3.22511
92,3.22511
93,3.22511
94,3.22511
95,3.22511
96,3.22511
97,3.22511
98,3.22511
99,3.22511
100,3.22511
101,3.22511
102,3.22511
103,3.22511
104,3.22511
105,3.22511
106,3.22511
107,3.22511
108,3.22511
109,3.22511
110,3.22511
111,3.22511
112,3.22511
113,3.22511
114,3.22511
115,3.22511
116,3.22511
117,3.22511
118,3.22511
119,3.22511
120,3.22511
121,3.22511
122,3.22511
123,3.22511
124,3.22511
125,3.22511
126,3.22511
127,3.22511
128,3.22511
129,3.22511
130,3.22511
131,3.22511
132,3.22511
133,3.22511
134,3.22511
135,3.22511
136,3.22511
137,3.22511
138,3.22511
139,3.22511
140,3.22511
141,3.22511
142,3.22511
143,3.22511
144,3.22511
145,3.22511
146,3.22511
147,3.22511
148,3.22511
149,3.22511
150,3.22511
151,2.05158
152,3.22511
153,2.46554
154,2.00696
155,2.69862
156,2.69862
157,2.69862
158,2.69862
159,2.69862
160,2.69862
161,2.69862
162,2.69862
163,2.69862
164,2.46554
165,2.46554
166,2.46554
167,3.01819
168,2.83659
169,2.69862
170,2.69862
171,2.69862
172,2.69862
173,2.69862
174,2.69862
175,2.69862
176,2.69862
177,2.17588
178,1.87131
179,3.01819
180,3.22511
181,3.22511
182,3.22511
183,2.18514
184,1.87027
185,2.12962
186,2.12962
187,2.09689
188,1.87949
189,1.87949
190,1.87949
191,2.82172
192,2.82172
193,1.87975
194,1.87975
195,2.83112
196,2.58878
197,2.58878
198,1.86330
199,2.34220
200,2.02253
201,2.14565
202,2.14565
203,2.46717
204,2.45215
205,2.01131
206,2.00259
207,2.70795
208,2.70795
209,2.70795
210,2.70795
211,2.10056
212,2.10056
213,1.97104
214,1.97104
215,2.09409
216,1.78589
217,1.74064
218,1.80967
219,1.87949
220,1.87949
221,1.87949
222,2.82172
223,2.48919
224,2.48919
225,1.86330
226,1.98775
227,1.98775
228,3.22511
229,3.22511
230,3.22511
231,3.22511
232,3.22511
233,3.22511
234,3.22511
235,3.22511
236,3.22511
237,3.22511
238,3.22511
239,3.22511
240,3.22511
241,3.22511
242,3.22511
243,2.84408
244,3.22511
245,3.22511
246,3.22511
247,3.22511
248,3.22511
249,3.22511
250,3.22511
251,3.22511
252,3.22511
253,3.22511
254,3.22511
255,3.22511
256,2.84408
257,3.22511
258,3.22511
259,3.22511
260,3.22511
261,3.22511
262,3.22511
263,3.22511
264,3.22511
265,3.22511
266,3.22511
267,3.22511
268,3.22511
269,3.22511
270,3.22511
271,3.22511
272,3.22511
273,3.22511
274,3.22511
275,3.22511
276,3.22511
277,3.22511
278,3.22511
279,3.22511
280,3.22511
281,3.22511
282,3.22511
283,3.22511
284,3.22511
285,3.22511
286,3.22511
287,3.22511
288,3.22511
289,3.22511
290,3.22511
291,3.22511
292,3.22511
293,3.22511
294,3.22511
295,3.22511
296,3.22511
297,3.22511
298,3.22511
299,3.22511
300,3.22511
301,3.22511
302,3.22511
303,2.34220
304,3.22511
305,3.22511
306,3.22511
307,3.22511
308,3.22511
309,3.22511
310,3.22511
311,3.22511
312,2.84408
313,3.22511
314,3.22511
315,3.22511
316,3.22511
317,3.22511
318,3.22511
319,3.22511
320,3.22511
321,3.22511
322,3.22511
323,3.22511
324,3.22511
325,2.23922
326,3.22511
327,3.22511
328,3.22511
329,3.22511
330,3.22511
331,3.22511
332,3.22511
333,3.22511
334,3.22511
335,3.22511
336,3.22511
337,3.22511
338,3.22511
339,3.22511
340,3.22511
341,3.22511
342,3.22511
343,3.22511
344,3.22511
345,3.22511
346,3.22511
347,3.22511
348,3.22511
349,3.22511
350,3.22511
351,3.22511
352,3.22511
353,3.22511
354,3.22511
355,3.22511
356,3.22511
357,3.22511
358,3.22511
359,3.22511
360,3.22511
361,3.22511
362,3.22511
363,3.22511
364,3.22511
365,3.22511
366,3.22511
367,3.22511
368,3.22511
369,3.22511
370,3.22511
371,3.22511
372,3.22511
373,3.22511
374,3.22511
375,3.22511
376,3.22511
377,3.22511
378,3.22511
379,3.22511
380,3.22511
381,3.22511
382,3.22511
383,3.22511
384,3.22511
385,3.22511
386,3.22511
387,3.22511
388,3.22511
389,3.22511
390,3.22511
391,3.22511
392,3.22511
393,3.22511
394,3.22511
395,3.22511
396,3.22511
397,3.22511
398,3.22511
399,3.22511
400,3.22511
401,3.22511
402,3.22511
403,3.22511
404,3.22511
405,3.22511
406,3.22511
407,3.22511
408,3.22511
409,3.22511
410,3.22511
411,3.22511
412,3.22511
413,3.22511
414,3.22511
415,3.22511
416,3.22511
417,3.22511
418,3.22511
419,3.22511
420,3.22511
421,3.22511
422,3.22511
423,3.22511
424,3.22511
425,3.22511
426,3.22511
427,3.22511
428,3.22511
429,3.22511
430,3.22511
431,3.22511
432,3.22511
433,3.22511
434,3.22511
435,3.22511
436,3.22511
437,3.22511
438,3.22511
439,3.22511
440,3.22511
441,3.22511
442,3.22511
443,3.22511
