# id,beta
1,3.19463
2,3.19463
3,1.21232
4,1.21232
5,1.21232
6,3.19463
7,3.19463
8,3.19463
9,0.69235
10,1.07172
11,3.19463
12,3.19463
13,3.19463
14,3.19463
15,3.19463
16,1.21232
17,1.21232
18,1.21232
19,3.19463
20,3.19463
21,3.19463
22,3.19463
23,3.19463
24,3.19463
25,3.19463
26,3.19463
27,0.86932
28,0.86932
29,0.86932
30,0.86932
31,0.86932
32,0.86932
33,0.86932
34,3.19463
35,3.19463
36,3.19463
37,3.19463
38,3.19463
39,3.19463
40,3.19463
41,3.19463
42,3.19463
43,3.19463
44,0.64135
45,3.19463
46,3.19463
47,3.19463
48,3.19463
49,3.19463
50,3.19463
51,0.67886
52,3.19463
53,3.19463
54,3.19463
55,3.19463
56,3.19463
57,3.19463
58,3.19463
59,3.19463
60,3.19463
61,3.19463
62,3.19463
63,0.71656
64,0.71656
65,3.19463
66,0.71656
67,0.71656
68,3.19463
69,0.71656
70,0.71656
71,0.71656
72,0.71656
73,0.67886
74,0.67886
75,3.19463
76,3.19463
77,3.19463
78,3.19463
79,3.19463
80,1.21232
81,1.21232
82,3.19463
83,1.21232
84,3.19463
85,3.19463
86,3.19463
87,3.19463
88,3.19463
89,3.19463
90,3.19463
91,3.19463
92,3.19463
93,3.19463
94,0.64135
95,0.64135
96,3.19463
97,3.19463
98,1.07172
99,3.19463
100,3.19463
101,3.19463
102,3.19463
103,3.19463
104,3.19463
105,3.19463
106,0.64135
107,0.64135
108,3.19463
109,3.19463
110,3.19463
111,3.19463
112,3.19463
113,3.19463
114,3.19463
115,3.19463
116,3.19463
117,3.19463
118,3.19463
119,3.19463
120,1.21232
121,1.21232
122,1.21232
123,3.19463
124,3.19463
125,1.21232
126,1.21232
127,0.98150
128,0.98150
129,0.98150
130,3.19463
131,3.19463
132,3.19463
133,3.19463
134,3.19463
135,3.19463
136,3.19463
137,3.19463
138,3.19463
139,3.19463
140,3.19463
141,3.19463
142,3.19463
143,3.19463
144,3.19463
145,3.19463
146,3.19463
147,3.19463
148,3.19463
149,3.19463
150,3.19463
151,3.19463
152,3.19463
153,3.19463
154,3.19463
155,3.19463
156,3.19463
157,3.19463
158,3.19463
159,3.19463
160,0.65698
161,1.21232
162,3.19463
163,3.19463
164,3.19463
165,3.19463
166,3.19463
167,3.19463
168,3.19463
169,3.19463
170,3.19463
171,3.19463
172,0.98150
173,0.98150
174,3.19463
175,3.19463
176,3.19463
177,3.19463
178,1.42282
179,0.62880
180,0.62880
181,0.62880
182,0.62880
183,3.19463
184,0.67886
185,0.67886
186,1.04052
187,1.04052
188,1.04052
189,1.04052
190,3.19463
191,3.19463
192,3.19463
193,3.19463
194,1.42282
195,1.42282
196,1.42282
197,1.42282
198,1.42282
199,1.42282
200,3.19463
201,1.04052
202,1.04052
203,1.04052
204,0.67886
205,0.67886
206,3.19463
207,3.19463
208,3.19463
209,3.19463
210,3.19463
211,3.19463
212,3.19463
213,3.19463
214,3.19463
215,3.19463
216,3.19463
217,3.19463
218,3.19463
219,3.19463
220,3.19463
221,3.19463
222,3.19463
223,3.19463
224,3.19463
225,3.19463
226,3.19463
227,3.19463
228,3.19463
229,3.19463
230,3.19463
231,3.19463
232,3.19463
233,3.19463
234,3.19463
235,3.19463
236,1.21232
237,1.21232
238,1.21232
239,3.19463
240,1.21232
241,3.19463
242,3.19463
243,1.21232
244,1.21232
245,0.98150
246,0.98150
247,0.98150
248,0.98150
249,3.19463
250,3.19463
251,3.19463
252,3.19463
253,3.19463
254,3.19463
255,3.19463
256,3.19463
257,3.19463
258,3.19463
259,3.19463
260,3.19463
261,3.19463
262,3.19463
263,3.19463
264,3.19463
265,3.19463
266,3.19463
267,3.19463
268,3.19463
269,3.19463
270,3.19463
271,3.19463
272,3.19463
273,3.19463
274,3.19463
275,3.19463
276,3.19463
277,3.19463
278,3.19463
279,3.19463
280,3.19463
281,3.19463
282,3.19463
283,3.19463
284,3.19463
285,3.19463
286,3.19463
287,3.19463
288,3.19463
289,3.19463
290,3.19463
291,3.19463
292,3.19463
293,3.19463
294,3.19463
295,3.19463
296,3.19463
297,3.19463
298,3.19463
299,3.19463
300,3.19463
301,3.19463
302,3.19463
303,3.19463
304,3.19463
305,3.19463
306,3.19463
307,3.19463
308,3.19463
309,3.19463
310,3.19463
311,3.19463
312,3.19463
313,3.19463
314,3.19463
315,3.19463
316,3.19463
317,3.19463
318,3.19463
319,3.19463
320,3.19463
321,3.19463
322,3.19463
323,3.19463
324,3.19463
325,3.19463
326,3.19463
327,3.19463
328,3.19463
329,3.19463
330,3.19463
331,3.19463
332,3.19463
333,3.19463
334,3.19463
335,3.19463
336,3.19463
337,3.19463
338,3.19463
339,3.19463
340,3.19463
341,3.19463
342,3.19463
343,3.19463
344,3.19463
345,3.19463
346,3.19463
347,3.19463
348,3.19463
349,3.19463
350,3.19463
351,3.19463
352,3.19463
353,3.19463
354,3.19463
355,3.19463
356,3.19463
357,3.19463
358,3.19463
359,3.19463
360,3.19463
361,3.19463
362,3.19463
363,3.19463
364,3.19463
365,3.19463
366,3.19463
367,3.19463
368,3.19463
369,3.19463
370,3.19463
371,3.19463
372,3.19463
373,3.19463
374,3.19463
375,3.19463
376,3.19463
377,3.19463
378,3.19463
379,3.19463
380,3.19463
381,3.19463
382,3.19463
383,3.19463
384,3.19463
385,3.19463
386,3.19463
387,3.19463
388,3.19463
389,3.19463
390,3.19463
391,3.19463
392,3.19463
393,3.19463
394,3.19463
395,3.19463
396,3.19463
397,3.19463
398,3.19463
399,3.19463
400,3.19463
401,3.19463
402,3.19463
403,3.19463
404,3.19463
405,3.19463
406,3.19463
407,3.19463
408,3.19463
409,3.19463
410,3.19463
411,3.19463
412,3.19463
413,3.19463
414,3.19463
415,3.19463
416,3.19463
417,3.19463
418,3.19463
419,3.19463
420,3.19463
421,3.19463
422,3.19463
423,3.19463
424,3.19463
425,3.19463
426,3.19463
427,3.19463
428,3.19463
429,3.19463
430,3.19463
431,3.19463
432,3.19463
433,3.19463
434,3.19463
435,3.19463
436,3.19463
437,3.19463
438,3.19463
439,3.19463
440,3.19463
441,3.19463
442,3.19463
443,3.19463
444,3.19463
445,3.19463
446,3.19463
447,3.19463
448,3.19463
449,3.19463
450,3.19463
451,3.19463
452,3.19463
453,3.19463
454,3.19463
455,3.19463
456,3.19463
457,3.19463
458,3.19463
459,3.19463
460,3.19463
461,3.19463
462,3.19463
463,3.19463
464,3.19463
465,3.19463
466,3.19463
467,3.19463
468,3.19463
469,3.19463
470,3.19463
471,3.19463
472,3.19463
473,3.19463
474,3.19463
475,3.19463
476,3.19463
477,3.19463
478,3.19463
479,3.19463
480,3.19463
481,3.19463
482,3.19463
483,3.19463
484,3.19463
485,3.19463
486,3.19463
487,3.19463
488,3.19463
489,3.19463
490,3.19463
491,3.19463
492,3.19463
493,3.19463
494,3.19463
495,3.19463
496,3.19463
497,3.19463
498,3.19463
499,3.19463
500,3.19463
501,3.19463
502,3.19463
503,3.19463
504,3.19463
505,3.19463
506,3.19463
507,3.19463
508,3.19463
509,3.19463
510,1.42282
511,0.77437
512,3.19463
513,3.19463
514,3.19463
515,3.19463
516,3.19463
517,3.19463
518,3.19463
519,3.19463
520,3.19463
521,3.19463
522,3.19463
523,3.19463
524,3.19463
525,3.19463
526,3.19463
527,3.19463
528,3.19463
529,1.42282
530,1.42282
531,1.42282
532,1.42282
533,1.42282
534,1.42282
535,1.42282
536,3.19463
537,3.19463
538,3.19463
539,3.19463
540,3.19463
541,3.19463
542,3.19463
543,3.19463
544,3.19463
545,3.19463
546,3.19463
547,3.19463
548,3.19463
549,3.19463
550,3.19463
551,3.19463
552,3.19463
553,3.19463
554,3.19463
555,3.19463
556,3.19463
557,3.19463
558,3.19463
559,3.19463
560,3.19463
561,3.19463
562,3.19463
563,3.19463
564,3.19463
565,1.42282
566,1.42282
567,1.42282
568,1.42282
569,1.42282
570,1.42282
571,1.42282
572,3.19463
573,3.19463
574,3.19463
575,3.19463
576,3.19463
577,3.19463
578,3.19463
579,3.19463
580,3.19463
581,3.19463
582,3.19463
583,3.19463
584,1.42282
585,1.42282
586,1.42282
587,1.42282
588,1.42282
589,1.42282
590,1.42282
591,3.19463
592,3.19463
593,3.19463
594,3.19463
595,3.19463
596,3.19463
597,3.19463
598,3.19463
599,3.19463
600,3.19463
601,3.19463
602,3.19463
603,3.19463
604,3.19463
605,3.19463
606,3.19463
607,3.19463
608,3.19463
609,3.19463
610,3.19463
611,3.19463
612,3.19463
613,3.19463
614,3.19463
615,3.19463
616,3.19463
617,3.19463
618,3.19463
619,3.19463
620,3.19463
621,3.19463
622,3.19463
623,3.19463
624,3.19463
625,3.19463
626,3.19463
627,3.19463
628,3.19463
629,3.19463
630,3.19463
631,3.19463
632,3.19463
633,1.42282
634,1.42282
635,1.42282
636,1.42282
637,3.19463
638,1.42282
639,3.19463
640,3.19463
641,3.19463
642,3.19463
643,3.19463
644,3.19463
645,3.19463
646,1.21232
647,3.19463
648,3.19463
649,3.19463
650,3.19463
651,3.19463
652,3.19463
653,3.19463
654,3.19463
655,3.19463
656,3.19463
657,3.19463
658,3.19463
659,3.19463
660,3.19463
661,3.19463
662,3.19463
663,3.19463
664,3.19463
665,3.19463
666,3.19463
667,3.19463
668,3.19463
669,3.19463
670,3.19463
671,3.19463
672,3.19463
673,3.19463
674,3.19463
675,3.19463
676,3.19463
677,3.19463
678,3.19463
679,3.19463
680,3.19463
681,3.19463
682,3.19463
683,0.86932
684,0.86932
685,3.19463
686,0.86932
687,3.19463
688,3.19463
689,3.19463
690,3.19463
691,3.19463
692,3.19463
693,3.19463
694,1.42282
695,1.42282
696,1.42282
697,1.42282
698,3.19463
699,3.19463
700,3.19463
701,3.19463
702,3.19463
703,3.19463
704,3.19463
705,3.19463
706,3.19463
707,3.19463
708,3.19463
709,3.19463
710,3.19463
711,3.19463
712,3.19463
713,3.19463
714,3.19463
715,3.19463
716,3.19463
717,3.19463
718,1.21232
719,3.19463
720,3.19463
721,3.19463
722,3.19463
723,3.19463
724,3.19463
725,3.19463
726,3.19463
727,3.19463
728,3.19463
729,3.19463
730,3.19463
731,3.19463
732,1.04052
733,0.64135
734,3.19463
735,3.19463
736,3.19463
737,3.19463
738,3.19463
739,3.19463
740,3.19463
741,3.19463
742,3.19463
743,1.04052
744,0.64135
745,3.19463
746,3.19463
747,1.07172
748,1.07172
749,3.19463
750,3.19463
751,3.19463
752,3.19463
753,3.19463
754,3.19463
755,3.19463
756,3.19463
757,3.19463
758,3.19463
759,3.19463
760,3.19463
761,0.75350
762,0.75350
763,3.19463
764,1.42282
765,1.42282
766,1.42282
767,3.19463
768,0.65698
769,1.04052
770,0.75350
771,0.75350
772,0.75350
773,0.75350
774,3.19463
775,3.19463
776,1.07172
777,1.07172
778,1.42282
779,1.42282
780,1.42282
781,1.42282
782,1.42282
783,1.42282
784,1.42282
785,1.42282
786,1.42282
787,1.42282
788,1.42282
789,1.42282
790,1.42282
791,3.19463
792,3.19463
793,3.19463
794,3.19463
795,3.19463
796,3.19463
797,3.19463
798,3.19463
799,3.19463
800,3.19463
801,3.19463
802,3.19463
803,3.19463
804,3.19463
805,3.19463
806,3.19463
807,3.19463
808,3.19463
809,3.19463
810,3.19463
811,3.19463
812,3.19463
813,3.19463
814,3.19463
815,1.04052
816,0.64135
817,3.19463
818,3.19463
819,3.19463
820,3.19463
821,3.19463
822,3.19463
823,3.19463
824,3.19463
825,3.19463
826,3.19463
827,3.19463
828,3.19463
829,3.19463
830,3.19463
831,3.19463
832,3.19463
833,3.19463
834,3.19463
835,3.19463
836,3.19463
837,1.42282
838,1.42282
839,1.42282
840,1.42282
841,1.42282
842,3.19463
843,3.19463
844,3.19463
845,3.19463
846,3.19463
847,3.19463
848,1.04052
849,0.64135
850,3.19463
851,3.19463
852,3.19463
853,3.19463
854,3.19463
855,3.19463
856,3.19463
857,3.19463
858,3.19463
859,1.42282
860,1.42282
861,3.19463
862,3.19463
863,3.19463
864,3.19463
865,3.19463
866,3.19463
867,3.19463
868,3.19463
869,3.19463
870,3.19463
871,3.19463
872,3.19463
873,3.19463
874,3.19463
875,1.04052
876,0.64135
877,3.19463
878,3.19463
879,3.19463
880,3.19463
881,3.19463
882,3.19463
883,3.19463
884,3.19463
885,3.19463
886,3.19463
887,3.19463
888,3.19463
889,1.07172
890,1.07172
891,1.07172
892,3.19463
893,0.69235
894,0.69235
895,0.69235
896,0.69235
897,0.69235
898,0.69235
899,3.19463
900,3.19463
901,3.19463
902,3.19463
903,3.19463
904,3.19463
905,3.19463
906,3.19463
907,3.19463
908,3.19463
909,3.19463
910,3.19463
911,3.19463
912,3.19463
913,3.19463
914,3.19463
915,0.69235
916,0.69235
917,0.69235
918,3.19463
919,0.69235
920,0.69235
921,3.19463
922,3.19463
923,3.19463
924,3.19463
925,3.19463
926,3.19463
927,3.19463
928,3.19463
929,3.19463
930,3.19463
931,3.19463
932,3.19463
933,3.19463
934,3.19463
935,3.19463
936,3.19463
937,3.19463
938,3.19463
939,3.19463
940,3.19463
941,3.19463
942,3.19463
943,3.19463
944,3.19463
945,3.19463
946,3.19463
947,3.19463
948,1.21232
949,3.19463
950,3.19463
951,3.19463
952,3.19463
953,3.19463
954,3.19463
955,3.19463
956,3.19463
957,3.19463
958,3.19463
959,3.19463
960,3.19463
961,3.19463
962,3.19463
963,3.19463
964,3.19463
965,3.19463
966,0.69235
967,0.69235
968,3.19463
969,3.19463
970,3.19463
971,3.19463
972,3.19463
973,3.19463
974,3.19463
975,3.19463
976,3.19463
977,1.21232
978,3.19463
979,3.19463
980,3.19463
981,3.19463
982,3.19463
983,3.19463
984,3.19463
985,3.19463
986,3.19463
987,0.98150
988,0.65698
989,0.65698
990,0.65698
991,3.19463
992,3.19463
993,1.21232
994,1.21232
995,1.21232
996,3.19463
997,3.19463
998,3.19463
999,3.19463
1000,3.19463
1001,3.19463
1002,3.19463
1003,3.19463
1004,3.19463
1005,3.19463
1006,3.19463
1007,3.19463
1008,3.19463
1009,3.19463
1010,3.19463
1011,1.21232
1012,1.21232
1013,1.21232
1014,1.21232
1015,1.21232
1016,3.19463
1017,3.19463
1018,3.19463
1019,3.19463
1020,3.19463
1021,3.19463
1022,3.19463
1023,3.19463
1024,3.19463
1025,3.19463
1026,3.19463
1027,1.21232
1028,1.21232
1029,1.21232
1030,3.19463
1031,3.19463
1032,1.42282
1033,1.42282
1034,1.42282
1035,1.42282
1036,3.19463
1037,3.19463
1038,1.42282
1039,1.42282
1040,1.42282
1041,1.42282
1042,1.42282
1043,1.42282
1044,1.42282
1045,1.42282
1046,3.19463
1047,3.19463
1048,3.19463
1049,3.19463
1050,0.67886
1051,0.67886
1052,0.67886
1053,0.67886
1054,0.67886
1055,3.19463
1056,3.19463
1057,3.19463
1058,3.19463
1059,3.19463
1060,1.42282
1061,1.42282
1062,3.19463
1063,3.19463
1064,3.19463
1065,3.19463
1066,3.19463
1067,3.19463
1068,3.19463
1069,0.86932
1070,0.86932
1071,0.86932
1072,0.86932
1073,3.19463
1074,3.19463
1075,3.19463
1076,3.19463
1077,3.19463
1078,3.19463
1079,3.19463
1080,3.19463
1081,3.19463
1082,3.19463
1083,3.19463
1084,3.19463
1085,0.86932
1086,0.86932
1087,3.19463
1088,3.19463
1089,3.19463
1090,1.42282
1091,3.19463
1092,3.19463
1093,3.19463
1094,3.19463
1095,3.19463
1096,3.19463
1097,3.19463
1098,3.19463
1099,3.19463
1100,3.19463
1101,3.19463
1102,3.19463
1103,0.86932
1104,3.19463
1105,3.19463
1106,1.42282
1107,1.42282
1108,1.42282
1109,1.42282
1110,1.42282
1111,1.42282
1112,1.42282
1113,1.42282
1114,1.42282
1115,3.19463
1116,3.19463
1117,3.19463
1118,3.19463
1119,3.19463
1120,1.42282
1121,1.42282
1122,1.42282
1123,1.42282
1124,1.42282
1125,1.42282
1126,1.42282
1127,1.42282
1128,1.42282
1129,1.42282
1130,1.42282
1131,1.42282
1132,1.42282
1133,3.19463
1134,3.19463
1135,1.42282
1136,1.42282
1137,1.42282
1138,1.42282
1139,1.42282
1140,1.42282
1141,3.19463
1142,3.19463
1143,3.19463
1144,3.19463
1145,3.19463
1146,3.19463
1147,0.75350
1148,0.75350
1149,1.04052
1150,1.04052
1151,1.04052
1152,3.19463
1153,0.86932
1154,0.86932
1155,0.86932
1156,3.19463
1157,3.19463
1158,3.19463
1159,3.19463
1160,3.19463
1161,3.19463
1162,3.19463
1163,3.19463
1164,3.19463
1165,3.19463
1166,3.19463
1167,3.19463
1168,3.19463
1169,3.19463
1170,3.19463
1171,3.19463
1172,3.19463
1173,3.19463
1174,3.19463
1175,3.19463
1176,3.19463
1177,3.19463
1178,3.19463
1179,3.19463
1180,3.19463
1181,3.19463
1182,3.19463
1183,3.19463
1184,3.19463
1185,3.19463
1186,3.19463
1187,3.19463
1188,3.19463
1189,3.19463
1190,3.19463
1191,0.69235
1192,0.69235
1193,0.69235
1194,3.19463
1195,3.19463
1196,0.75350
1197,0.75350
1198,1.04052
1199,1.04052
1200,1.04052
1201,3.19463
1202,3.19463
1203,3.19463
1204,3.19463
1205,3.19463
1206,3.19463
1207,3.19463
1208,3.19463
1209,3.19463
1210,3.19463
1211,3.19463
1212,3.19463
1213,3.19463
1214,3.19463
1215,3.19463
1216,3.19463
1217,3.19463
1218,3.19463
1219,3.19463
1220,3.19463
1221,3.19463
1222,3.19463
1223,3.19463
1224,3.19463
1225,3.19463
1226,3.19463
1227,3.19463
1228,3.19463
1229,3.19463
1230,3.19463
1231,3.19463
1232,0.86932
1233,0.86932
1234,3.19463
1235,3.19463
1236,0.63160
1237,3.19463
1238,0.67886
1239,3.19463
1240,3.19463
1241,3.19463
1242,3.19463
1243,0.64135
1244,1.42282
1245,3.19463
1246,3.19463
1247,3.19463
1248,3.19463
1249,3.19463
1250,0.69235
1251,0.69235
1252,0.69235
1253,3.19463
1254,3.19463
1255,3.19463
1256,3.19463
1257,1.21232
1258,1.21232
1259,0.69235
1260,0.69235
1261,0.69235
1262,3.19463
1263,3.19463
1264,3.19463
1265,3.19463
1266,3.19463
1267,3.19463
1268,3.19463
1269,3.19463
1270,3.19463
1271,3.19463
1272,1.42282
1273,1.42282
1274,1.42282
1275,1.42282
1276,1.42282
1277,1.42282
1278,1.42282
1279,1.42282
1280,1.42282
1281,1.42282
1282,1.42282
1283,3.19463
1284,3.19463
1285,3.19463
1286,3.19463
1287,3.19463
1288,3.19463
1289,3.19463
1290,3.19463
1291,3.19463
1292,1.04052
1293,1.04052
1294,1.04052
1295,1.04052
1296,1.04052
1297,1.04052
1298,3.19463
1299,3.19463
1300,3.19463
1301,1.42282
1302,3.19463
1303,3.19463
1304,3.19463
1305,3.19463
1306,3.19463
1307,3.19463
1308,3.19463
1309,3.19463
1310,3.19463
1311,3.19463
1312,3.19463
1313,3.19463
1314,3.19463
1315,3.19463
1316,3.19463
1317,3.19463
1318,3.19463
1319,0.77437
1320,1.42282
1321,3.19463
1322,3.19463
1323,3.19463
1324,0.67886
1325,0.67886
1326,3.19463
1327,3.19463
1328,3.19463
1329,3.19463
1330,1.42282
1331,1.42282
1332,1.04052
1333,1.04052
1334,1.04052
1335,1.04052
1336,1.04052
1337,1.04052
1338,3.19463
1339,3.19463
1340,3.19463
1341,3.19463
1342,3.19463
1343,3.19463
1344,3.19463
1345,3.19463
1346,3.19463
1347,3.19463
1348,3.19463
1349,1.42282
1350,3.19463
1351,3.19463
1352,3.19463
1353,3.19463
1354,3.19463
1355,3.19463
1356,3.19463
1357,3.19463
1358,3.19463
1359,3.19463
1360,3.19463
1361,3.19463
1362,3.19463
1363,3.19463
1364,3.19463
1365,3.19463
1366,3.19463
1367,3.19463
1368,3.19463
1369,3.19463
1370,3.19463
1371,3.19463
1372,3.19463
1373,3.19463
1374,3.19463
1375,3.19463
1376,3.19463
1377,3.19463
1378,3.19463
1379,3.19463
1380,3.19463
1381,3.19463
1382,3.19463
1383,3.19463
1384,3.19463
1385,3.19463
1386,3.19463
1387,3.19463
1388,3.19463
1389,3.19463
1390,3.19463
1391,3.19463
1392,3.19463
1393,3.19463
1394,3.19463
1395,3.19463
1396,3.19463
1397,3.19463
1398,3.19463
1399,3.19463
1400,3.19463
1401,3.19463
1402,3.19463
1403,3.19463
1404,3.19463
1405,3.19463
1406,3.19463
1407,3.19463
1408,3.19463
1409,3.19463
1410,3.19463
1411,3.19463
1412,3.19463
1413,3.19463
1414,3.19463
1415,3.19463
1416,3.19463
1417,3.19463
1418,3.19463
1419,3.19463
1420,3.19463
1421,3.19463
1422,3.19463
1423,3.19463
1424,3.19463
1425,3.19463
1426,3.19463
1427,3.19463
1428,3.19463
1429,3.19463
1430,3.19463
1431,3.19463
1432,3.19463
1433,3.19463
1434,3.19463
1435,3.19463
1436,3.19463
1437,3.19463
1438,3.19463
1439,3.19463
1440,3.19463
1441,3.19463
1442,3.19463
1443,3.19463
1444,3.19463
1445,3.19463
1446,3.19463
1447,3.19463
1448,3.19463
1449,3.19463
1450,3.19463
1451,3.19463
1452,3.19463
1453,3.19463
1454,3.19463
1455,3.19463
1456,3.19463
1457,3.19463
1458,3.19463
1459,3.19463
1460,3.19463
1461,3.19463
1462,3.19463
1463,3.19463
1464,3.19463
1465,3.19463
1466,3.19463
1467,3.19463
1468,3.19463
1469,3.19463
1470,3.19463
1471,3.19463
1472,3.19463
1473,3.19463
1474,3.19463
1475,3.19463
1476,3.19463
1477,3.19463
1478,3.19463
1479,3.19463
1480,3.19463
1481,3.19463
1482,3.19463
1483,3.19463
1484,3.19463
1485,3.19463
1486,3.19463
1487,3.19463
1488,3.19463
1489,3.19463
1490,3.19463
1491,3.19463
1492,3.19463
1493,3.19463
1494,3.19463
1495,3.19463
1496,3.19463
1497,3.19463
1498,3.19463
1499,3.19463
1500,3.19463
1501,3.19463
1502,3.19463
1503,3.19463
1504,3.19463
1505,3.19463
1506,3.19463
1507,3.19463
1508,3.19463
1509,3.19463
1510,3.19463
1511,3.19463
1512,3.19463
1513,3.19463
1514,3.19463
1515,3.19463
1516,3.19463
1517,3.19463
1518,3.19463
1519,3.19463
1520,3.19463
1521,3.19463
1522,3.19463
1523,3.19463
1524,3.19463
1525,3.19463
1526,3.19463
1527,3.19463
1528,3.19463
1529,3.19463
1530,3.19463
1531,3.19463
1532,3.19463
1533,3.19463
1534,3.19463
1535,3.19463
1536,3.19463
1537,3.19463
1538,3.19463
1539,3.19463
1540,3.19463
1541,3.19463
1542,3.19463
1543,3.19463
1544,3.19463
1545,3.19463
1546,3.19463
1547,3.19463
1548,3.19463
1549,3.19463
1550,3.19463
1551,3.19463
1552,3.19463
1553,3.19463
1554,3.19463
1555,3.19463
1556,3.19463
1557,3.19463
1558,3.19463
1559,3.19463
1560,3.19463
1561,3.19463
1562,3.19463
1563,3.19463
