Word,Beta
haematuria,2.00696
abdominal,2.23922
aortic,2.23922
aneurysm,2.23922
left,2.83659
loin,2.83659
pain,2.16988
acanthosis,2.01123
nigricans,2.01123
thickened,2.48919
,,2.36099
velvety,2.48919
hyperpigmented,2.57003
skin,3.22511
endocrine,2.09808
disorders,2.16795
malignancies,2.12965
fractured,1.87027
phalanges,1.87027
renal,2.83112
cell,2.23922
carcinoma,2.23922
urothelial,2.23922
of,2.09689
urinary,2.09689
bladder,2.09689
non,2.05158
-,2.14011
hodgkin,3.22511
lymphoma,3.22511
synchronous,1.89527
painless,2.48837
gross,2.48837
hematuria,1.87976
tumor,2.70795
the,2.08473
right,1.97628
kidney,1.99037
papillary,2.02253
enlarged,3.22511
lymph,3.22511
nodes,3.22511
rcc,2.23922
b,3.22511
small,3.22511
cll,3.22511
scanning,3.22511
electron,3.22511
microscopy,3.22511
human,3.22511
zonule,3.22511
lens,3.22511
(,2.70255
zonula,3.22511
ciliaris,3.22511
),2.70255
.,3.22511
in,2.46717
present,3.22511
study,3.22511
eight,3.22511
eyeballs,3.22511
were,3.22511
specifically,3.22511
prepared,3.22511
for,3.22511
microscopic,3.22511
observation,3.22511
consisted,3.22511
two,3.22511
main,3.22511
layers,3.22511
radial,3.22511
fibres,3.22511
an,3.22511
anterior,3.22511
and,2.46717
a,3.22511
posterior,3.22511
one,3.22511
that,3.22511
inserted,3.22511
on,3.22511
capsules,3.22511
respectively,3.22511
some,3.22511
equator,3.22511
zonular,3.22511
originated,3.22511
at,3.22511
pars,3.22511
plana,3.22511
entered,3.22511
dorsal,3.22511
part,3.22511
ciliary,3.22511
valleys,3.22511
then,3.22511
changed,3.22511
their,3.22511
direction,3.22511
towards,3.22511
face,3.22511
capsule,3.22511
by,3.22511
branched,3.22511
endings,3.22511
1,3.22511
mm,3.22511
behind,3.22511
mainly,3.22511
occasionally,3.22511
after,3.22511
running,3.22511
completely,3.22511
through,3.22511
close,3.22511
contact,3.22511
with,3.22511
lateral,3.22511
walls,3.22511
processes,3.22511
they,3.22511
plicata,3.22511
reached,3.22511
insertions,3.22511
achieved,3.22511
webbed,3.22511
diffused,3.22511
into,3.22511
2,3.22511
front,3.22511
extraordinary,3.22511
distension,3.22511
capacity,3.22511
was,3.22511
demonstrated,3.22511
pulling,3.22511
hydrodissection,3.22511
as,3.22511
consequence,3.22511
stretched,3.22511
up,3.22511
to,3.22511
four,3.22511
times,3.22511
original,3.22511
length,3.22511
without,3.22511
breaking,3.22511
or,2.05158
disinserting,3.22511
sonographic,2.46554
pseudokidney,2.00696
nephrectomy,2.69862
when,2.69862
interpreting,2.69862
sonograms,2.69862
should,2.69862
be,2.69862
aware,2.69862
possibility,2.69862
mistaking,2.69862
fat,2.46554
scarring,2.46554
fossa,2.46554
normal,3.01819
patient,2.83659
history,2.69862
prior,2.69862
doubt,2.69862
ultrasound,2.69862
findings,2.69862
confirmed,2.69862
ct,2.69862
scan,2.69862
ocular,2.17588
hypertension,1.87131
primary,3.01819
open,3.22511
angle,3.22511
glaucoma,3.22511
denture,2.18514
stomatitis,1.87027
inflammatory,2.12962
condition,2.12962
trauma,2.09689
ventricular,1.87949
rv,1.87949
failure,1.87949
tetralogy,2.82172
fallot,2.82172
levoatrial,1.87975
cardinal,1.87975
vein,2.83112
congenital,2.58878
anomaly,2.58878
systemic,1.86330
veins,2.34220
side,2.02253
obstructive,2.14565
anomalies,2.14565
cardiac,2.46717
dextroversion,2.45215
malrotation,2.01131
heart,2.00259
dyspnoea,2.70795
pre,2.70795
syncopal,2.70795
attacks,2.70795
bicuspid,2.10056
valve,2.10056
dilated,1.97104
ascending,1.97104
aorta,2.09409
cyanosis,1.78589
clubbing,1.74064
hypoxia,1.80967
atrial,1.87949
septal,1.87949
defect,1.87949
shunting,2.82172
cerebrovascular,2.48919
complications,2.48919
pulmonary,1.86330
hematological,1.98775
abnormalities,1.98775
radioimmunoassay,3.22511
immunoreactive,3.22511
c,3.22511
terminal,3.22511
big,3.22511
endothelin,3.22511
22,3.22511
38,3.22511
potent,3.22511
endogenous,3.22511
vaso,3.22511
constrictor,3.22511
is,3.22511
derived,3.22511
from,3.22511
its,2.84408
biosynthetic,3.22511
precursor,3.22511
proteolytic,3.22511
degradation,3.22511
last,3.22511
step,3.22511
cleaves,3.22511
21,3.22511
fragment,3.22511
we,3.22511
have,3.22511
developed,3.22511
this,2.84408
peptide,3.22511
based,3.22511
antiserum,3.22511
recognizing,3.22511
sequence,3.22511
cross,3.22511
reacting,3.22511
intact,3.22511
test,3.22511
presence,3.22511
plasma,3.22511
samples,3.22511
extracted,3.22511
passage,3.22511
c18,3.22511
silica,3.22511
cartridges,3.22511
desorption,3.22511
methanol,3.22511
/,3.22511
water,3.22511
volume,3.22511
fraction,3.22511
0,3.22511
8,3.22511
yields,3.22511
purification,3.22511
concentration,3.22511
procedure,3.22511
about,3.22511
70,3.22511
%,3.22511
15,3.22511
healthy,3.22511
persons,3.22511
found,3.22511
concentrations,3.22511
11,3.22511
pmol,3.22511
l,3.22511
which,3.22511
10,3.22511
fold,3.22511
higher,3.22511
than,3.22511
reference,3.22511
levels,2.34220
reported,3.22511
thus,3.22511
peptides,3.22511
containing,3.22511
but,3.22511
different,3.22511
do,3.22511
circulate,3.22511
blood,2.84408
if,3.22511
sufficiently,3.22511
tight,3.22511
correlation,3.22511
circulating,3.22511
can,3.22511
proven,3.22511
would,3.22511
facilitate,3.22511
studies,3.22511
physiological,3.22511
role,3.22511
sphingolipidosis,2.23922
niemann,3.22511
pick,3.22511
type,3.22511
improvement,3.22511
eeg,3.22511
signal,3.22511
acquisition,3.22511
:,3.22511
electrical,3.22511
aspect,3.22511
state,3.22511
art,3.22511
end,3.22511
aim,3.22511
practical,3.22511
considerations,3.22511
acquiring,3.22511
satisfactory,3.22511
signals,3.22511
electroencephalographic,3.22511
these,3.22511
are,3.22511
important,3.22511
users,3.22511
system,3.22511
designers,3.22511
especially,3.22511
choosing,3.22511
correct,3.22511
electrode,3.22511
design,3.22511
strategy,3.22511
initial,3.22511
electronic,3.22511
circuitry,3.22511
plays,3.22511
improving,3.22511
',3.22511
s,3.22511
measurement,3.22511
performance,3.22511
considering,3.22511
pitfalls,3.22511
biopotential,3.22511
recording,3.22511
session,3.22511
conditions,3.22511
creates,3.22511
better,3.22511
accuracy,3.22511
electroencephalogram,3.22511
electrodes,3.22511
electronics,3.22511
including,3.22511
filtering,3.22511
amplifying,3.22511
conversion,3.22511
data,3.22511
storing,3.22511
environmental,3.22511
affect,3.22511
paper,3.22511
principles,3.22511
points,3.22511
noise,3.22511
reduction,3.22511
methods,3.22511
discussed,3.22511
suggestions,3.22511
presented,3.22511
comparative,3.22511
vitro,3.22511
activity,3.22511
new,3.22511
oral,3.22511
cephalosporin,3.22511
bmy,3.22511
28100,3.22511
using,3.22511
broth,3.22511
microdilution,3.22511
method,3.22511
against,3.22511
365,3.22511
clinical,3.22511
strains,3.22511
commonly,3.22511
isolated,3.22511
bacteria,3.22511
determined,3.22511
showed,3.22511
good,3.22511
streptococci,3.22511
methicillin,3.22511
susceptible,3.22511
staphylococci,3.22511
salmonella,3.22511
spp,3.22511
shigella,3.22511
beta,3.22511
lactamase,3.22511
producing,3.22511
branhamella,3.22511
catarrhalis,3.22511
haemophilus,3.22511
influenzae,3.22511
organisms,3.22511
comparable,3.22511
penicillin,3.22511
g,3.22511
ampicillin,3.22511
co,3.22511
trimoxazole,3.22511
erythromycin,3.22511
cefaclor,3.22511
doxycycline,3.22511
amoxicillin,3.22511
potassium,3.22511
clavulanate,3.22511
had,3.22511
moderate,3.22511
arizona,3.22511
hinshawii,3.22511
poor,2.46717
campylobacter,3.22511
jejuni,3.22511
yersinia,3.22511
enterocolitica,3.22511
ureter,2.08538
duplex,2.13654
ureters,2.01792
folliculitis,2.23922
follicular,2.23922
mucinosis,2.23922
papular,2.23922
chronic,2.70255
myelomonocytic,3.22511
leukemia,3.22511
leukemias,3.22511
lymphomas,3.22511
lesions,1.99502
eosinophilic,1.74383
acute,2.70795
straight,2.70795
instability,2.70795
knee,2.70795
osteosarcoma,3.22511
bone,2.84408
malignancy,2.23922
sudden,2.58878
unexpected,2.58878
death,2.58878
infant,2.58878
sids,3.01819
head,2.10056
developmental,1.87787
disabilities,1.87787
disability,2.32564
child,2.12962
abuse,2.12962
abusive,2.57003
injuries,1.98066
malignant,1.75627
iliac,2.23922
tumors,2.02577
septic,3.22511
arthritis,3.22511
median,1.74405
nerve,1.74405
dysfunction,1.74405
tissue,2.00858
hypertrophy,2.13654
cts,3.22511
renovascular,1.87949
rvh,1.87949
stenotic,2.48077
stenosis,2.06560
artery,2.06560
glomerular,2.48919
paget,3.22511
disease,3.22511
hydrocephalus,2.00149
syringomyelia,2.70795
hemiplegia,3.22511
vegetativa,3.22511
alterna,3.22511
ipsilateral,3.22511
horner,3.22511
syndrome,3.22511
contralateral,1.89487
hemihyperhidrosis,1.74383
cerebral,1.87787
occlusion,2.08538
pca,3.22511
occlusive,3.22511
homonymous,2.70795
visual,2.84408
field,2.70795
defects,2.70795
hemisensory,2.70795
loss,2.70795
neuropsychological,2.70795
deficits,2.70795
erythema,1.74064
multiforme,1.74064
minor,1.74064
tetanus,2.70795
diphtheria,2.70795
pertussis,1.99075
polio,2.70795
haemophillus,2.33513
subperiosteal,2.23922
osteoid,2.23922
osteoma,2.23922
osteomas,2.23922
factitious,1.80967
coarctation,1.80967
patent,1.90414
ductus,1.90414
arteriosus,1.90414
pda,1.90414
hypoplastic,2.03888
diabetes,3.22511
insipidus,3.22511
psychogenic,2.14565
polydipsia,1.87949
lung,2.58878
neoplasm,1.80883
myocardial,2.23922
infarction,1.74064
cancer,3.22511
metastases,2.33513
neoplasms,2.23922
metastatic,2.70795
chest,1.99075
rotaviral,3.22511
gastroenteritis,2.23922
fletcher,2.09689
trait,2.09689
fitzgerald,2.09689
disseminated,2.09689
intravascular,2.09689
coagulation,2.09689
cirrhosis,1.81802
facial,1.78899
hemiatrophy,1.78899
epileptic,2.16988
seizures,1.80883
frontal,2.02253
paramedian,2.46554
band,2.02253
like,2.46554
