Word,Disease,Phenotype,Both
haematuria,0.37305,0.33527,0.29168
abdominal,0.29108,0.35473,0.35419
aortic,0.29108,0.35473,0.35419
aneurysm,0.29108,0.35473,0.35419
left,0.32299,0.35402,0.32299
loin,0.32299,0.35402,0.32299
pain,0.35942,0.28188,0.35870
acanthosis,0.29020,0.37263,0.33717
nigricans,0.29020,0.37263,0.33717
thickened,0.34942,0.30116,0.34942
,,0.35177,0.28886,0.35937
velvety,0.34942,0.30116,0.34942
hyperpigmented,0.34136,0.31729,0.34136
skin,0.28159,0.43682,0.28159
endocrine,0.35485,0.29186,0.35329
disorders,0.28828,0.35801,0.35371
malignancies,0.28553,0.36041,0.35407
fractured,0.27336,0.34387,0.38277
phalanges,0.27336,0.34387,0.38277
renal,0.35493,0.32254,0.32254
cell,0.29108,0.35473,0.35419
carcinoma,0.29108,0.35473,0.35419
urothelial,0.29108,0.35473,0.35419
of,0.28161,0.35592,0.36246
urinary,0.28161,0.35592,0.36246
bladder,0.28161,0.35592,0.36246
non,0.34179,0.28887,0.36934
-,0.28459,0.35481,0.36060
hodgkin,0.43682,0.28159,0.28159
lymphoma,0.43682,0.28159,0.28159
synchronous,0.28412,0.35866,0.35722
painless,0.32882,0.34235,0.32882
gross,0.32882,0.34235,0.32882
hematuria,0.38225,0.34146,0.27629
tumor,0.26506,0.31592,0.41902
the,0.29242,0.35511,0.35247
right,0.29765,0.34688,0.35547
kidney,0.29810,0.34545,0.35644
papillary,0.28778,0.36864,0.34358
enlarged,0.28159,0.43682,0.28159
lymph,0.28159,0.43682,0.28159
nodes,0.28159,0.43682,0.28159
rcc,0.29108,0.35473,0.35419
b,0.43682,0.28159,0.28159
small,0.43682,0.28159,0.28159
cll,0.43682,0.28159,0.28159
scanning,0.28159,0.28159,0.43682
electron,0.28159,0.28159,0.43682
microscopy,0.28159,0.28159,0.43682
human,0.28159,0.28159,0.43682
zonule,0.28159,0.28159,0.43682
lens,0.28159,0.28159,0.43682
(,0.30891,0.30891,0.38218
zonula,0.28159,0.28159,0.43682
ciliaris,0.28159,0.28159,0.43682
),0.30891,0.30891,0.38218
.,0.28159,0.28159,0.43682
in,0.28102,0.33998,0.37900
present,0.28159,0.28159,0.43682
study,0.28159,0.28159,0.43682
eight,0.28159,0.28159,0.43682
eyeballs,0.28159,0.28159,0.43682
were,0.28159,0.28159,0.43682
specifically,0.28159,0.28159,0.43682
prepared,0.28159,0.28159,0.43682
for,0.28159,0.28159,0.43682
microscopic,0.28159,0.28159,0.43682
observation,0.28159,0.28159,0.43682
consisted,0.28159,0.28159,0.43682
two,0.28159,0.28159,0.43682
main,0.28159,0.28159,0.43682
layers,0.28159,0.28159,0.43682
radial,0.28159,0.28159,0.43682
