Word,Beta
haematuria,2.80237
and,2.80240
abdominal,2.79502
aortic,2.79502
aneurysm,2.79502
.,2.80240
left,2.80238
loin,2.79469
pain,2.79469
in,2.80240
a,2.80240
patient,2.80240
with,2.80240
associated,2.80240
the,2.80240
radiological,2.80240
finding,2.80240
of,2.80240
poorly,2.80237
or,2.80237
non,2.80237
-,2.80237
functioning,2.80237
kidney,2.80237
are,2.80240
pathognomonic,2.80240
features,2.80240
aorto,2.79605
renal,2.79605
vein,2.79605
fistula,2.78860
,,2.80240
condition,2.80240
which,2.80240
leaks,2.80240
into,2.80240
an,2.80240
anomalous,2.79031
retro,2.79031
acanthosis,2.80238
nigricans,2.80238
is,2.80240
thickened,2.80238
velvety,2.80238
hyperpigmented,2.80239
skin,2.80239
variety,2.80240
endocrine,2.78614
disorders,2.78614
malignancies,2.78614
medications,2.80240
mechanical,2.80240
stability,2.80240
internal,2.80240
fixation,2.80240
fractured,2.80239
phalanges,2.80239
rigidity,2.79469
five,2.80240
techniques,2.80240
tested,2.80240
experimentally,2.80240
compared,2.80240
clinical,2.80240
relevance,2.80240
discussed,2.80240
cell,2.79502
carcinoma,2.79502
concurrent,2.80240
urothelial,2.79502
urinary,2.76877
bladder,2.76877
hodgkin,2.80240
lymphoma,2.80240
we,2.80240
report,2.80240
case,2.80240
71,2.80240
year,2.80240
old,2.80240
male,2.80240
multiple,2.80240
primary,2.80240
involving,2.79031
combined,2.80240
synchronous,0.85994
was,2.80240
admitted,2.80240
to,2.80240
hospital,2.80240
because,2.80240
painless,2.79605
gross,2.79605
hematuria,2.80239
examination,2.80240
revealed,2.80240
tumor,2.79031
right,0.86368
papillary,2.78556
enlarged,2.80240
lymph,2.80240
nodes,2.80240
along,2.79031
aorta,2.79031
inferior,2.79031
vena,2.79031
cava,2.79031
transurethral,2.79646
resection,2.79646
(,2.80240
tur,2.80240
),2.80240
radical,2.80240
nephrectomy,2.80240
retroperitoneal,2.80240
lymphadenectomy,2.80240
were,2.80240
performed,2.80240
pathohistologic,2.80240
evaluation,2.80240
together,2.80240
immunohistochemistry,2.80240
gave,2.80240
final,2.80240
diagnosis,2.80240
rcc,2.79502
b,2.80240
small,2.80240
cll,2.80240
scanning,2.80240
electron,2.80240
microscopy,2.80240
human,2.80240
zonule,2.80240
lens,2.80240
zonula,2.80240
ciliaris,2.80240
present,2.80240
study,2.80240
eight,2.80240
eyeballs,2.80240
specifically,2.80240
prepared,2.80240
for,2.80240
microscopic,2.80240
observation,2.80240
consisted,2.80240
two,2.80240
main,2.80240
layers,2.80240
radial,2.80240
fibres,2.80240
anterior,2.80240
posterior,2.80240
one,2.80240
that,2.80240
inserted,2.80240
on,2.80240
capsules,2.80240
respectively,2.80240
some,2.80240
equator,2.80240
zonular,2.80240
originated,2.80240
at,2.80240
pars,2.80240
plana,2.80240
entered,2.80240
dorsal,2.80240
part,2.80240
ciliary,2.80240
valleys,2.80240
then,2.80240
changed,2.80240
their,2.80240
direction,2.80240
towards,2.80240
face,2.80240
capsule,2.80240
by,2.80240
branched,2.80240
endings,2.80240
1,2.80240
mm,2.80240
behind,2.80240
mainly,2.80240
occasionally,2.80240
after,2.80240
running,2.80240
completely,2.80240
through,2.80240
close,2.80240
contact,2.80240
lateral,2.80240
walls,2.80240
processes,2.80240
they,2.80240
plicata,2.80240
reached,2.80240
insertions,2.80240
achieved,2.80240
webbed,2.80240
diffused,2.80240
2,2.80240
front,2.80240
extraordinary,2.80240
distension,2.80240
capacity,2.80240
demonstrated,2.80240
pulling,2.80240
hydrodissection,2.80240
as,2.80240
consequence,2.80240
stretched,2.80240
up,2.80240
four,2.80240
times,2.80240
original,2.80240
length,2.80240
without,2.80240
breaking,2.80240
disinserting,2.80240
sonographic,2.74905
pseudokidney,2.80237
when,2.80237
interpreting,2.80237
sonograms,2.80237
should,2.80237
be,2.80237
aware,2.80237
possibility,2.80237
mistaking,2.80237
fat,2.74905
scarring,2.74905
fossa,2.74905
normal,2.80237
history,2.80237
prior,2.80237
doubt,2.80237
ultrasound,2.80237
findings,2.80237
confirmed,2.80237
ct,2.80237
scan,2.80237
color,2.79031
pattern,2.79031
reversal,2.79031
visual,2.79031
evoked,2.79031
potential,2.79031
eyes,2.80240
ocular,2.79605
hypertension,2.80238
open,2.80240
angle,2.80240
glaucoma,2.80240
testing,2.80240
99,2.80240
27,2.80240
30,2.80240
use,2.80240
black,2.80240
white,2.80240
red,2.80240
blue,2.80240
checkerboard,2.80240
stimuli,2.80240
p1,2.79031
wave,2.79031
peak,2.79031
time,2.79031
amplitude,2.79031
significantly,2.80240
different,2.80240
from,2.80240
those,2.80240
age,2.80240
similar,2.80240
especially,2.80240
checkerboards,2.80240
p,2.80240
less,2.80240
than,2.80240
0,2.80240
001,2.80240
differences,2.80240
between,2.80240
hypertensive,2.80237
glaucomatous,2.80237
significance,2.80240
difference,2.79031
may,2.80240
serve,2.80240
important,2.80240
parameter,2.80240
early,2.80240
comparison,2.80240
secretory,2.80240
iga,2.80240
igg,2.80240
isotype,2.80240
levels,2.80240
palatal,2.80240
secretions,2.80240
denture,2.79646
stomatitis,2.80239
patients,2.80240
wearers,2.80240
having,2.80240
clinically,2.80240
healthy,2.80240
palates,2.80240
inflammatory,2.78556
affecting,2.80240
mucosa,2.80240
covered,2.80240
aetiology,2.80240
multifactorial,2.80240
poor,2.80238
hygiene,2.80238
constant,2.79031
wearing,2.79031
trauma,2.76877
colonisation,2.80238
candida,2.80238
species,2.80238
inflamed,2.74905
tissues,2.74905
raised,2.79031
albumin,2.79031
isotypes,2.79031
siga,2.79031
would,2.80240
expected,2.80240
major,2.80240
component,2.80240
protective,2.80240
immunological,2.80240
response,2.80240
mucosal,2.80240
injection,2.80240
21,2.80240
22,2.80240
analysed,2.80240
found,2.80240
