# id,beta
1,3.36684
2,3.36684
3,1.31251
4,1.31251
5,1.31251
6,3.36684
7,0.75484
8,1.18393
9,3.36684
10,3.36684
11,3.36684
12,3.36684
13,3.36684
14,3.36684
15,3.36684
16,3.36684
17,3.36684
18,3.36684
19,0.95587
20,0.95587
21,0.95587
22,0.95587
23,0.95587
24,0.95587
25,3.36684
26,3.36684
27,3.36684
28,3.36684
29,3.36684
30,3.36684
31,0.69140
32,3.36684
33,3.36684
34,3.36684
35,3.36684
36,3.36684
37,3.36684
38,3.36684
39,3.36684
40,0.81198
41,0.81198
42,3.36684
43,0.81198
44,0.81198
45,0.71508
46,0.71508
47,3.36684
48,1.31251
49,1.31251
50,1.31251
51,3.36684
52,3.36684
53,3.36684
54,3.36684
55,3.36684
56,0.69140
57,0.69140
58,1.18393
59,3.36684
60,3.36684
61,3.36684
62,3.36684
63,3.36684
64,3.36684
65,3.36684
66,3.36684
67,1.31251
68,1.31251
69,3.36684
70,1.31251
71,1.10350
72,1.10350
73,3.36684
74,3.36684
75,3.36684
76,3.36684
77,3.36684
78,3.36684
79,3.36684
80,3.36684
81,3.36684
82,3.36684
83,3.36684
84,3.36684
85,3.36684
86,0.72364
87,3.36684
88,3.36684
89,3.36684
90,3.36684
91,3.36684
92,1.10350
93,1.10350
94,3.36684
95,3.36684
96,3.36684
97,1.59349
98,0.68471
99,0.71508
100,3.36684
101,3.36684
102,3.36684
103,1.59349
104,1.59349
105,1.59349
106,1.59349
107,1.59349
108,1.07648
109,1.07648
110,3.36684
111,3.36684
112,3.36684
113,3.36684
114,3.36684
115,3.36684
116,3.36684
117,3.36684
118,3.36684
119,3.36684
120,3.36684
121,3.36684
122,3.36684
123,3.36684
124,3.36684
125,3.36684
126,1.31251
127,3.36684
128,3.36684
129,3.36684
130,3.36684
131,3.36684
132,3.36684
133,3.36684
134,3.36684
135,3.36684
136,3.36684
137,3.36684
138,3.36684
139,3.36684
140,3.36684
141,3.36684
142,3.36684
143,3.36684
144,3.36684
145,3.36684
146,3.36684
147,3.36684
148,3.36684
149,3.36684
150,3.36684
151,3.36684
152,3.36684
153,3.36684
154,3.36684
155,3.36684
156,3.36684
157,3.36684
158,3.36684
159,3.36684
160,3.36684
161,3.36684
162,3.36684
163,3.36684
164,3.36684
165,3.36684
166,3.36684
167,3.36684
168,3.36684
169,3.36684
170,3.36684
171,3.36684
172,3.36684
173,3.36684
174,3.36684
175,3.36684
176,3.36684
177,3.36684
178,3.36684
179,3.36684
180,3.36684
181,3.36684
182,3.36684
183,3.36684
184,3.36684
185,3.36684
186,3.36684
187,3.36684
188,3.36684
189,3.36684
190,3.36684
191,3.36684
192,3.36684
193,3.36684
194,3.36684
195,3.36684
196,3.36684
197,3.36684
198,3.36684
199,3.36684
200,3.36684
201,3.36684
202,3.36684
203,3.36684
204,3.36684
205,3.36684
206,3.36684
207,3.36684
208,3.36684
209,3.36684
210,3.36684
211,3.36684
212,3.36684
213,3.36684
214,3.36684
215,3.36684
216,3.36684
217,3.36684
218,3.36684
219,3.36684
220,3.36684
221,3.36684
222,3.36684
223,1.59349
224,0.86634
225,3.36684
226,3.36684
227,3.36684
228,3.36684
229,3.36684
230,3.36684
231,3.36684
232,3.36684
233,1.59349
234,1.59349
235,1.59349
236,3.36684
237,3.36684
238,3.36684
239,3.36684
240,3.36684
241,3.36684
242,3.36684
243,3.36684
244,3.36684
245,1.59349
246,1.59349
247,1.59349
248,1.59349
249,1.59349
250,1.59349
251,3.36684
252,3.36684
253,3.36684
254,3.36684
255,3.36684
256,3.36684
257,3.36684
258,3.36684
259,3.36684
260,3.36684
261,3.36684
262,3.36684
263,3.36684
264,3.36684
265,3.36684
266,3.36684
267,3.36684
268,1.59349
269,1.59349
270,1.59349
271,1.59349
272,1.59349
273,3.36684
274,3.36684
275,3.36684
276,3.36684
277,3.36684
278,3.36684
279,3.36684
280,3.36684
281,3.36684
282,3.36684
283,3.36684
284,3.36684
285,3.36684
286,3.36684
287,3.36684
288,0.95587
289,0.95587
290,3.36684
291,1.59349
292,3.36684
293,3.36684
294,3.36684
295,3.36684
296,3.36684
297,3.36684
298,3.36684
299,3.36684
300,3.36684
301,3.36684
302,3.36684
303,3.36684
304,3.36684
305,1.07648
306,0.69140
307,3.36684
308,3.36684
309,3.36684
310,3.36684
311,3.36684
312,3.36684
313,1.18393
314,3.36684
315,3.36684
316,3.36684
317,3.36684
318,3.36684
319,0.79537
320,0.79537
321,1.59349
322,1.59349
323,0.72364
324,0.79537
325,0.79537
326,0.79537
327,1.18393
328,1.18393
329,1.59349
330,1.59349
331,1.59349
332,1.59349
333,3.36684
334,3.36684
335,3.36684
336,3.36684
337,3.36684
338,3.36684
339,3.36684
340,3.36684
341,3.36684
342,3.36684
343,3.36684
344,3.36684
345,3.36684
346,3.36684
347,3.36684
348,3.36684
349,3.36684
350,3.36684
351,3.36684
352,3.36684
353,3.36684
354,1.18393
355,1.18393
356,0.75484
357,0.75484
358,0.75484
359,3.36684
360,3.36684
361,3.36684
362,3.36684
363,3.36684
364,3.36684
365,3.36684
366,3.36684
367,3.36684
368,3.36684
369,3.36684
370,3.36684
371,3.36684
372,3.36684
373,3.36684
374,3.36684
375,3.36684
376,3.36684
377,3.36684
378,3.36684
379,3.36684
380,3.36684
381,3.36684
382,3.36684
383,3.36684
384,3.36684
385,3.36684
386,3.36684
387,3.36684
388,3.36684
389,3.36684
390,3.36684
391,3.36684
392,3.36684
393,3.36684
394,3.36684
395,0.72364
396,0.72364
397,3.36684
398,3.36684
399,3.36684
400,3.36684
401,3.36684
402,3.36684
403,3.36684
404,1.31251
405,1.31251
406,1.31251
407,1.59349
408,1.59349
409,1.59349
410,1.59349
411,1.59349
412,3.36684
413,3.36684
414,3.36684
415,3.36684
416,1.59349
417,1.59349
418,3.36684
419,3.36684
420,0.95587
421,3.36684
422,3.36684
423,3.36684
424,3.36684
425,1.59349
426,3.36684
427,3.36684
428,3.36684
429,3.36684
430,3.36684
431,1.59349
432,1.59349
433,1.59349
434,1.59349
435,1.59349
436,3.36684
437,1.59349
438,1.59349
439,1.59349
440,1.59349
441,1.59349
442,1.59349
443,1.59349
444,1.59349
445,1.59349
446,3.36684
447,3.36684
448,0.79537
449,1.07648
450,1.07648
451,0.95587
452,0.95587
453,3.36684
454,3.36684
455,3.36684
456,3.36684
457,3.36684
458,3.36684
459,3.36684
460,3.36684
461,3.36684
462,3.36684
463,3.36684
464,3.36684
465,3.36684
466,3.36684
467,3.36684
468,3.36684
469,3.36684
470,3.36684
471,3.36684
472,0.69564
473,0.71508
474,3.36684
475,3.36684
476,3.36684
477,0.69140
478,1.59349
479,3.36684
480,0.75484
481,0.75484
482,0.75484
483,1.31251
484,1.31251
485,3.36684
486,3.36684
487,3.36684
488,1.59349
489,1.59349
490,3.36684
491,3.36684
492,3.36684
493,3.36684
494,1.07648
495,3.36684
496,3.36684
497,3.36684
498,3.36684
499,3.36684
500,0.71508
501,0.71508
502,3.36684
503,3.36684
504,3.36684
505,3.36684
506,3.36684
507,3.36684
508,3.36684
509,3.36684
510,3.36684
511,3.36684
512,3.36684
513,3.36684
514,3.36684
515,3.36684
516,3.36684
517,3.36684
518,3.36684
519,3.36684
520,3.36684
521,3.36684
522,3.36684
523,3.36684
524,3.36684
525,3.36684
526,3.36684
527,3.36684
528,3.36684
529,3.36684
530,3.36684
531,3.36684
532,3.36684
533,3.36684
534,3.36684
535,3.36684
536,3.36684
537,3.36684
538,3.36684
539,3.36684
540,3.36684
541,3.36684
542,3.36684
543,3.36684
544,3.36684
545,3.36684
546,3.36684
547,3.36684
548,3.36684
549,3.36684
550,3.36684
551,3.36684
552,3.36684
553,3.36684
554,3.36684
555,3.36684
556,3.36684
557,3.36684
558,3.36684
559,3.36684
560,3.36684
561,3.36684
562,3.36684
563,3.36684
564,3.36684
565,3.36684
566,3.36684
567,3.36684
568,3.36684
569,3.36684
570,3.36684
571,3.36684
572,3.36684
573,3.36684
574,3.36684
575,3.36684
576,3.36684
577,3.36684
578,3.36684
579,3.36684
580,3.36684
581,3.36684
582,3.36684
583,3.36684
584,3.36684
585,3.36684
586,3.36684
587,3.36684
588,3.36684
589,3.36684
590,3.36684
591,3.36684
592,3.36684
593,3.36684
594,3.36684
595,3.36684
596,3.36684
597,1.31251
598,3.36684
599,3.36684
600,3.36684
601,3.36684
602,3.36684
603,3.36684
604,3.36684
605,3.36684
606,3.36684
607,3.36684
608,3.36684
609,3.36684
610,3.36684
611,3.36684
612,3.36684
613,3.36684
614,3.36684
615,3.36684
616,3.36684
617,3.36684
618,3.36684
619,3.36684
620,3.36684
621,3.36684
622,3.36684
623,3.36684
624,3.36684
625,3.36684
626,3.36684
627,3.36684
628,3.36684
629,3.36684
630,3.36684
631,3.36684
632,3.36684
633,3.36684
634,3.36684
635,3.36684
636,3.36684
637,3.36684
638,3.36684
639,3.36684
640,3.36684
641,3.36684
642,3.36684
643,3.36684
644,3.36684
645,3.36684
646,3.36684
647,3.36684
648,3.36684
649,3.36684
650,3.36684
651,3.36684
652,3.36684
653,3.36684
654,3.36684
655,1.59349
656,1.59349
657,1.59349
658,3.36684
659,3.36684
660,3.36684
661,3.36684
662,3.36684
663,3.36684
664,3.36684
665,3.36684
666,3.36684
667,3.36684
668,3.36684
669,3.36684
670,3.36684
671,3.36684
672,3.36684
673,3.36684
674,3.36684
675,3.36684
676,3.36684
677,3.36684
678,3.36684
679,3.36684
680,3.36684
681,3.36684
682,3.36684
683,3.36684
684,3.36684
685,3.36684
686,3.36684
687,3.36684
688,3.36684
689,3.36684
690,3.36684
691,3.36684
692,3.36684
