# id,beta
1,3.24293
2,3.24293
3,1.23766
4,1.23766
5,1.23766
6,3.24293
7,3.24293
8,0.70951
9,1.10292
10,3.24293
11,3.24293
12,3.24293
13,3.24293
14,3.24293
15,1.23766
16,1.23766
17,1.23766
18,3.24293
19,3.24293
20,3.24293
21,3.24293
22,3.24293
23,3.24293
24,3.24293
25,3.24293
26,0.89435
27,0.89435
28,0.89435
29,0.89435
30,0.89435
31,0.89435
32,3.24293
33,3.24293
34,3.24293
35,3.24293
36,3.24293
37,3.24293
38,3.24293
39,3.24293
40,3.24293
41,0.65288
42,3.24293
43,3.24293
44,3.24293
45,3.24293
46,3.24293
47,0.68452
48,3.24293
49,3.24293
50,3.24293
51,3.24293
52,3.24293
53,3.24293
54,3.24293
55,3.24293
56,3.24293
57,0.74286
58,0.74286
59,0.74286
60,0.74286
61,3.24293
62,0.74286
63,0.74286
64,0.68452
65,0.68452
66,3.24293
67,3.24293
68,3.24293
69,3.24293
70,3.24293
71,1.23766
72,1.23766
73,1.23766
74,3.24293
75,3.24293
76,3.24293
77,3.24293
78,3.24293
79,3.24293
80,3.24293
81,3.24293
82,3.24293
83,0.65288
84,0.65288
85,3.24293
86,1.10292
87,3.24293
88,3.24293
89,3.24293
90,3.24293
91,3.24293
92,3.24293
93,3.24293
94,0.65288
95,0.65288
96,3.24293
97,3.24293
98,3.24293
99,3.24293
100,3.24293
101,3.24293
102,3.24293
103,3.24293
104,3.24293
105,3.24293
106,1.23766
107,1.23766
108,1.23766
109,3.24293
110,3.24293
111,1.23766
112,1.23766
113,1.01264
114,1.01264
115,1.01264
116,3.24293
117,3.24293
118,3.24293
119,3.24293
120,3.24293
121,3.24293
122,3.24293
123,3.24293
124,3.24293
125,3.24293
126,3.24293
127,3.24293
128,3.24293
129,3.24293
130,3.24293
131,3.24293
132,3.24293
133,3.24293
134,3.24293
135,3.24293
136,3.24293
137,3.24293
138,3.24293
139,3.24293
140,3.24293
141,0.67399
142,1.23766
143,3.24293
144,3.24293
145,3.24293
146,3.24293
147,3.24293
148,3.24293
149,3.24293
150,3.24293
151,3.24293
152,1.01264
153,1.01264
154,3.24293
155,3.24293
156,3.24293
157,1.47302
158,0.64251
159,0.64251
160,0.64251
161,0.64251
162,3.24293
163,0.68452
164,0.68452
165,1.04229
166,1.04229
