Word	Difficulty
iatrogenic	3.23801
systematic	3.23801
magnetic	3.23801
hinshawii	3.23801
dynamic	3.23801
plasmids	3.23801
four	3.23801
circuitry	3.23801
consists	3.23801
tonsillar	3.23801
biopotential	3.23801
localized	3.23801
poorly	2.45548666667
coarctation	1.47149
physiological	2.64917
intron	3.23801
disability	0.827435
rostral	3.23801
vinylguaiacol	3.23801
endings	3.23801
presents	3.23801
numbness	3.23801
under	1.47149
alternating	3.23801
vaso	3.23801
hypertensive	0.89044
cardiomegaly	1.47149
activation	3.23801
upstream	3.23801
experimentally	3.23801
bringing	3.23801
anemia	0.70186
differentiated	3.23801
pooled	3.23801
progression	3.23801
supports	3.23801
vector	3.23801
enhance	3.23801
shows	3.23801
luciferase	3.23801
hemodynamics	3.23801
japanese	3.23801
second	3.23801
estimated	3.23801
blue	3.23801
established	3.23801
filtration	1.47149
organisms	3.23801
excised	3.23801
selected	3.23801
consequent	3.23801
unreality	0.89044
qigong	3.23801
new	3.23801
increasing	3.23801
transvesical	3.23801
mechanisms	3.23801
never	3.23801
kindred	3.23801
here	3.23801
reported	2.51845222222
endoscopic	3.23801
represented	3.23801
100	3.23801
101	3.23801
107	3.23801
obtained	3.23801
apical	3.23801
kids	3.23801
allele	2.15867333333
forum	3.23801
glycolipids	3.23801
items	3.23801
study	2.87823111111
changed	3.23801
completely	3.23801
reports	3.23801
controversy	3.23801
etiology	3.23801
transfected	3.23801
changes	2.06882833333
interferon	3.23801
highly	3.23801
psychological	1.97898333333
atrium	0.735745
total	3.23801
kobayashi	3.23801
derivatives	3.23801
would	3.23801
osteoma	0.8183
hospital	3.23801
microdilution	3.23801
negative	3.23801
subgrouped	3.23801
leaks	3.23801
therefore	3.23801
m2	3.23801
type	2.79638
until	3.23801
butanone	3.23801
aware	3.23801
99	3.23801
reversible	0.518555
adult	3.23801
91	3.23801
microbiologically	3.23801
blocking	3.23801
68ga	0.89044
md	3.23801
word	3.23801
mm	3.23801
ml	3.23801
work	3.23801
mammalian	3.23801
root	3.23801
unilateral	1.22745
indicated	3.23801
hemoglobin	3.23801
hippurate	1.47149
confocal	3.23801
risk	3.23801
end	2.4285075
provide	3.23801
niemann	3.23801
damage	1.28105
far	3.23801
clubbing	0.68018
iiib	0.74329
eyeballs	3.23801
description	3.23801
less	2.15867333333
after	3.120242
percutaneous	3.23801
midbrain	3.23801
parallel	3.23801
types	3.23801
childhood	3.23801
perform	3.23801
checkerboard	3.23801
upside	0.89044
correlation	3.23801
order	3.23801
restriction	1.47149
amplifying	3.23801
zen	3.23801
affect	3.23801
responsive	3.23801
before	1.619005
auditory	2.56782333333
clearances	1.47149
better	3.23801
402	3.23801
distal	2.64917
easier	3.23801
phenotype	3.23801
maximal	3.23801
then	3.23801
diseases	3.23801
combination	3.23801
