Word	P(None)	P(Phenotype)
iatrogenic	1.0	0.0
systematic	1.0	0.0
magnetic	1.0	0.0
hinshawii	1.0	0.0
dynamic	1.0	0.0
plasmids	1.0	0.0
four	1.0	0.0
circuitry	1.0	0.0
consists	1.0	0.0
tonsillar	1.0	0.0
biopotential	1.0	0.0
localized	1.0	0.0
poorly	0.986553333333	0.0134466666667
coarctation	6e-05	0.99994
physiological	0.99998	2e-05
intron	1.0	0.0
disability	0.79032	0.20968
rostral	1.0	0.0
vinylguaiacol	1.0	0.0
endings	1.0	0.0
presents	1.0	0.0
numbness	0.0	1.0
under	0.99994	6e-05
alternating	1.0	0.0
vaso	1.0	0.0
hypertensive	0.95966	0.04034
cardiomegaly	6e-05	0.99994
activation	1.0	0.0
upstream	1.0	0.0
experimentally	1.0	0.0
bringing	1.0	0.0
anemia	0.78245	0.21755
differentiated	1.0	0.0
pooled	1.0	0.0
progression	1.0	0.0
supports	1.0	0.0
vector	1.0	0.0
enhance	1.0	0.0
shows	1.0	0.0
luciferase	1.0	0.0
hemodynamics	1.0	0.0
japanese	1.0	0.0
second	1.0	0.0
estimated	1.0	0.0
blue	1.0	0.0
established	1.0	0.0
filtration	0.99994	6e-05
organisms	1.0	0.0
excised	1.0	0.0
selected	1.0	0.0
consequent	1.0	0.0
unreality	0.95966	0.04034
qigong	1.0	0.0
new	1.0	0.0
increasing	1.0	0.0
transvesical	1.0	0.0
mechanisms	1.0	0.0
never	1.0	0.0
kindred	1.0	0.0
here	1.0	0.0
reported	0.777777777778	0.0
endoscopic	1.0	0.0
represented	1.0	0.0
100	1.0	0.0
101	1.0	0.0
107	1.0	0.0
obtained	1.0	0.0
apical	1.0	0.0
kids	1.0	0.0
allele	0.666666666667	0.0
forum	1.0	0.0
glycolipids	1.0	0.0
items	1.0	0.0
study	0.888888888889	0.0
changed	1.0	0.0
completely	1.0	0.0
reports	1.0	0.0
controversy	1.0	0.0
etiology	1.0	0.0
transfected	1.0	0.0
changes	0.833158333333	0.000175
interferon	1.0	0.0
highly	1.0	0.0
psychological	0.99965	0.00035
atrium	0.49997	3e-05
total	1.0	0.0
kobayashi	1.0	0.0
derivatives	1.0	0.0
would	1.0	0.0
osteoma	0.666006666667	0.00066
hospital	1.0	0.0
microdilution	1.0	0.0
negative	1.0	0.0
subgrouped	1.0	0.0
leaks	1.0	0.0
therefore	1.0	0.0
m2	1.0	0.0
type	0.999985	1.5e-05
until	1.0	0.0
butanone	1.0	0.0
aware	1.0	0.0
99	1.0	0.0
reversible	0.49563	0.00437
adult	1.0	0.0
91	1.0	0.0
microbiologically	1.0	0.0
blocking	1.0	0.0
68ga	0.95966	0.04034
md	1.0	0.0
word	1.0	0.0
mm	1.0	0.0
ml	1.0	0.0
work	1.0	0.0
mammalian	1.0	0.0
root	1.0	0.0
unilateral	0.99901	0.00099
indicated	1.0	0.0
hemoglobin	1.0	0.0
hippurate	0.99994	6e-05
confocal	1.0	0.0
risk	1.0	0.0
end	0.75	0.0
provide	1.0	0.0
niemann	1.0	0.0
damage	0.99757	0.00243
far	1.0	0.0
clubbing	0.26576	0.73424
iiib	0.84822	0.15178
eyeballs	1.0	0.0
description	1.0	0.0
less	0.666666666667	0.0
after	0.999996	4e-06
percutaneous	1.0	0.0
midbrain	1.0	0.0
parallel	1.0	0.0
types	1.0	0.0
childhood	1.0	0.0
perform	1.0	0.0
checkerboard	1.0	0.0
upside	0.95966	0.04034
correlation	1.0	0.0
order	1.0	0.0
restriction	6e-05	0.99994
amplifying	1.0	0.0
zen	1.0	0.0
affect	1.0	0.0
responsive	1.0	0.0
before	0.5	0.0
auditory	0.99967	0.00033
clearances	0.99994	6e-05
better	1.0	0.0
402	1.0	0.0
distal	0.99998	2e-05
easier	1.0	0.0
phenotype	1.0	0.0
maximal	1.0	0.0
then	1.0	0.0
diseases	1.0	0.0
combination	1.0	0.0
fixation	1.0	0.0
safe	0.666666666667	0.0
neurological	6e-05	0.99994
band	0.75117	0.24883
hypoxia	6e-05	0.99994
therapy	0.5	0.0
effects	0.99979	0.00021
they	1.0	0.0
mimicking	1.0	0.0
structural	1.0	0.0
probiotic	1.0	0.0
sids	1.0	0.0
l	0.5	0.0
stimulus	0.9891725	0.0108275
each	1.0	0.0
interfering	1.0	0.0
side	0.911083333333	0.0889166666667
bone	0.666336666667	0.00033
mean	0.99998	2e-05
series	1.0	0.0
displacement	0.99994	6e-05
attenuation	0.95966	0.04034
webbed	1.0	0.0
extract	1.0	0.0
peaks	1.0	0.0
rv	0.869074	0.130926
gradient	0.99994	6e-05
thrombin	0.99994	6e-05
tonsil	0.13288	0.36712
crucial	1.0	0.0
content	1.0	0.0
medicine	0.5	0.0
arizona	1.0	0.0
cirrhosis	0.78245	0.21755
frontoparietal	0.86889	0.13111
mistaking	1.0	0.0
popliteal	1.0	0.0
mononuclear	1.0	0.0
rubra	1.0	0.0
equina	1.0	0.0
exposing	1.0	0.0
created	1.0	0.0
denture	0.884026666667	0.00486222222222
days	1.0	0.0
creates	1.0	0.0
levels	0.79997	3e-05
features	1.0	0.0
grade	1.0	0.0
vitro	1.0	0.0
hearing	1.0	0.0
electronic	1.0	0.0
170	1.0	0.0
seizures	0.59382	0.0728466666667
olds	1.0	0.0
rated	1.0	0.0
neuromuscular	1.0	0.0
xii	0.5	0.0
pleura	0.747815	0.002185
approximately	1.0	0.0
confirming	1.0	0.0
rates	0.99994	6e-05
observations	1.0	0.0
myelomonocytic	1.0	0.0
ranging	1.0	0.0
dilated	0.561545	0.438455
intestine	0.99994	6e-05
serve	1.0	0.0
wrapped	0.99994	6e-05
western	1.0	0.0
target	1.0	0.0
showed	1.0	0.0
likely	1.0	0.0
binds	1.0	0.0
prone	1.0	0.0
acquisition	0.75	0.0
plasmin	0.99994	6e-05
failing	0.9952	0.0048
membranes	0.666666666667	0.0
stomach	0.99994	6e-05
relatively	1.0	0.0
psma	0.99994	6e-05
isolated	0.99934	0.00066
indexes	1.0	0.0
chest	6e-05	0.99994
subjects	1.0	0.0
shelf	1.0	0.0
isolates	1.0	0.0
mutants	1.0	0.0
tibia	1.0	0.0
epileptic	0.9952	0.0048
memory	0.99994	6e-05
checkerboards	1.0	0.0
it	1.0	0.0
involving	1.0	0.0
carcinoma	0.99804125	0.00195875
immunological	1.0	0.0
observation	1.0	0.0
flow	0.74997	3e-05
pathohistologic	1.0	0.0
points	1.0	0.0
sphingomyelinase	0.99994	6e-05
advisory	1.0	0.0
basolateral	1.0	0.0
manifestation	1.0	0.0
ipsilateral	1.0	0.0
papillary	0.73424	0.26576
availability	1.0	0.0
representing	1.0	0.0
minnesota	1.0	0.0
hemiatrophy	0.846666666667	0.153333333333
judged	0.99994	6e-05
rice	1.0	0.0
wearing	0.99997	3e-05
do	1.0	0.0
wide	1.0	0.0
haemophilus	1.0	0.0
yielded	1.0	0.0
aetiology	1.0	0.0
yfp	1.0	0.0
reversal	0.99994	6e-05
despite	1.0	0.0
report	1.0	0.0
emg	0.99994	6e-05
abdominal	0.99901	0.00099
microscopy	0.666666666667	0.0
public	1.0	0.0
release	0.29166	0.70834
implication	1.0	0.0
electrodes	1.0	0.0
clarified	1.0	0.0
peripheral	1.0	0.0
testing	1.0	0.0
unexpectedly	1.0	0.0
cytoplasmic	1.0	0.0
result	1.0	0.0
techniques	1.0	0.0
capacity	1.0	0.0
04	1.0	0.0
05	1.0	0.0
finger	0.99994	6e-05
365	1.0	0.0
ocular	0.239915	0.760085
assays	1.0	0.0
nature	1.0	0.0
inaba	1.0	0.0
however	1.0	0.0
carbon	1.0	0.0
linkage	1.0	0.0
atrial	0.78245	0.21755
uncrossed	1.0	0.0
myoclonic	0.13111	0.86889
store	1.0	0.0
amoxicillin	1.0	0.0
uncertainty	1.0	0.0
against	1.0	0.0
ventricular	0.854946666667	0.145053333333
pre	0.5	0.5
somatosensory	1.0	0.0
appeared	1.0	0.0
seizure	0.15178	0.84822
advancement	1.0	0.0
active	1.0	0.0
hygiene	0.9672225	0.0327775
cannulation	1.0	0.0
250	1.0	0.0
pentanol	1.0	0.0
presumable	1.0	0.0
recognises	1.0	0.0
three	1.0	0.0
been	1.0	0.0
empyema	6e-05	0.99994
immunologically	1.0	0.0
entered	1.0	0.0
lactis	1.0	0.0
issignificantly	1.0	0.0
dry	1.0	0.0
life	0.666666666667	0.0
efficacy	1.0	0.0
bladder	0.940416	0.059584
uncommon	1.0	0.0
erythema	0.15178	0.84822
child	0.9952	0.0048
guttentag	1.0	0.0
calcified	0.86889	0.13111
inhibit	1.0	0.0
say	1.0	0.0
n	0.333333333333	0.0
aim	1.0	0.0
abrupt	0.99994	6e-05
precede	1.0	0.0
procedure	1.0	0.0
seven	1.0	0.0
equator	0.666666666667	0.0
reproducibility	1.0	0.0
broth	1.0	0.0
ureter	0.662763333333	0.00390333333333
perinatal	0.9997525	0.0002475
ii	1.0	0.0
elicit	1.0	0.0
tissue	0.61937	0.38063
hygienist	1.0	0.0
in	0.995846393443	0.00415360655738
comparative	1.0	0.0
if	1.0	0.0
containing	0.999985	1.5e-05
severity	1.0	0.0
romberg	1.0	0.0
patent	0.54449	0.45551
suggest	1.0	0.0
recurrent	0.73424	0.26576
linked	1.0	0.0
complex	1.0	0.0
potentially	1.0	0.0
split	0.99998	2e-05
big	1.0	0.0
several	1.0	0.0
independent	1.0	0.0
myocardial	0.89073	0.10927
syncopal	0.0	1.0
osteotomy	1.0	0.0
hand	1.0	0.0
potentials	1.0	0.0
myelomatosis	1.0	0.0
cycle	1.0	0.0
allografts	1.0	0.0
constriction	0.95966	0.04034
episodic	0.0048	0.9952
min	0.99997	3e-05
disseminated	0.98829	0.01171
radioimmunoassay	1.0	0.0
squamous	1.0	0.0
contact	1.0	0.0
the	0.994308229167	0.00569177083333
left	0.714423571429	0.285576428571
seasonal	1.0	0.0
birth	0.61936	0.38064
identify	1.0	0.0
human	1.0	0.0
yet	1.0	0.0
succeeding	1.0	0.0
previous	1.0	0.0
thyroid	0.5	0.5
visualization	1.0	0.0
arai	1.0	0.0
nonprimate	1.0	0.0
candidate	1.0	0.0
similarities	1.0	0.0
had	1.0	0.0
pathognomonic	1.0	0.0
evidences	1.0	0.0
neoplasm	0.78245	0.21755
advanced	1.0	0.0
easy	1.0	0.0
hemisensory	6e-05	0.99994
has	1.0	0.0
plasma	0.833313333333	2e-05
gave	1.0	0.0
elevation	1.0	0.0
rna	1.0	0.0
possible	1.0	0.0
audiology	0.666666666667	0.0
background	1.0	0.0
clustered	1.0	0.0
cape	1.0	0.0
unique	1.0	0.0
ascending	0.128945	0.871055
occurring	1.0	0.0
54	1.0	0.0
occlusion	0.665066666667	0.0016
50	1.0	0.0
specific	0.901570909091	0.00752
vibrometry	0.5	0.0
signal	1.0	0.0
right	0.7779125	0.2220875
old	0.857142857143	0.0
insulinoma	0.13111	0.86889
multiple	1.0	0.0
psychogenic	0.99901	0.00099
separately	1.0	0.0
for	1.0	0.0
contributing	1.0	0.0
lymphadenectomy	1.0	0.0
cortical	0.666666666667	0.0
participation	0.99997	3e-05
cord	1.0	0.0
insipidus	1.0	0.0
jejuni	1.0	0.0
dental	1.0	0.0
metastatic	0.992173333333	0.00782666666667
midbody	1.0	0.0
lentiviral	1.0	0.0
months	1.0	0.0
anomalous	1.0	0.0
o	1.0	0.0
influenzae	0.49997	3e-05
eight	1.0	0.0
nerve	0.695782222222	0.193106666667
raised	0.99994	6e-05
leukemias	1.0	0.0
tetanus	0.99994	6e-05
presence	1.0	0.0
intellectual	1.0	0.0
down	0.95966	0.04034
loin	0.0048	0.9952
reducing	1.0	0.0
malignancies	0.746825	0.003175
often	1.0	0.0
