Word	Difficulty
iatrogenic	3.19463
systematic	3.19463
limited	3.19463
magnetic	3.19463
hinshawii	3.19463
dynamic	3.19463
plasmids	3.19463
four	3.19463
circuitry	3.19463
controversial	3.19463
consists	3.19463
tonsillar	3.19463
biopotential	3.19463
localized	3.19463
poorly	2.41952666667
coarctation	1.42282
physiological	2.60402666667
intron	3.19463
disability	0.80655
rostral	3.19463
vinylguaiacol	3.19463
endings	3.19463
presents	3.19463
numbness	3.19463
mental	0.71656
under	1.42282
alternating	3.19463
vaso	3.19463
hypertensive	0.86932
cardiomegaly	1.42282
activation	3.19463
upstream	3.19463
experimentally	3.19463
bringing	3.19463
anemia	0.69235
differentiated	3.19463
pooled	3.19463
progression	3.19463
supports	3.19463
vector	3.19463
cholesterol	3.19463
enhance	3.19463
shows	3.19463
luciferase	3.19463
infancy	3.19463
japanese	3.19463
second	3.19463
estimated	3.19463
blue	3.19463
established	3.19463
filtration	1.42282
trapping	3.19463
organisms	3.19463
+	3.19463
selected	3.19463
consequent	3.19463
unreality	0.86932
qigong	3.19463
new	3.19463
increasing	3.19463
arthroscopy	3.19463
mechanisms	3.19463
never	3.19463
kindred	3.19463
here	3.19463
reported	3.19463
china	3.19463
endoscopic	3.19463
represented	3.19463
100	3.19463
101	3.19463
107	3.19463
obtained	3.19463
apical	3.19463
kids	3.19463
allele	3.19463
forum	3.19463
glycolipids	3.19463
items	3.19463
study	3.19463
changed	3.19463
completely	3.19463
reports	3.19463
controversy	3.19463
etiology	3.19463
transfected	3.19463
changes	2.27364166667
interferon	3.19463
campaign	3.19463
treatment	2.60402666667
highly	3.19463
psychological	1.94325666667
atrium	1.42282
total	3.19463
kobayashi	3.19463
derivatives	3.19463
would	3.19463
osteoma	1.21232
hospital	3.19463
microdilution	3.19463
negative	3.19463
subgrouped	3.19463
leaks	3.19463
therefore	3.19463
m2	3.19463
type	2.7516775
until	3.19463
butanone	3.19463
aware	3.19463
99	3.19463
reversible	2.117575
adult	3.19463
91	3.19463
microbiologically	3.19463
blocking	3.19463
68ga	0.86932
1990	3.19463
word	3.19463
mm	3.19463
ml	3.19463
work	3.19463
mammalian	3.19463
itself	3.19463
ms	3.19463
root	3.19463
unilateral	1.21232
indicated	3.19463
hemoglobin	3.19463
hippurate	1.42282
confocal	3.19463
risk	3.19463
end	3.19463
provide	3.19463
niemann	3.19463
damage	1.24727
far	3.19463
clubbing	0.67886
significance	3.19463
pentanol	3.19463
iiib	0.71656
eyeballs	3.19463
description	3.19463
less	3.19463
after	3.07650933333
containing	2.7516775
midbrain	3.19463
parry	3.19463
parallel	3.19463
types	3.19463
childhood	3.19463
perform	3.19463
checkerboard	3.19463
upside	0.86932
correlation	3.19463
order	3.19463
restriction	1.42282
amplifying	3.19463
zen	3.19463
affect	3.19463
responsive	3.19463
before	3.19463
cll	3.19463
lps	3.19463
auditory	2.53386
,	3.10065961783
clearances	1.42282
better	3.19463
402	3.19463
distal	2.60402666667
easier	3.19463
phenotype	3.19463
maximal	3.19463
then	3.19463
diseases	3.19463
combination	3.19463
fixation	3.19463
safe	3.19463
neurological	1.42282
band	1.7779975
hypoxia	1.42282
therapy	3.19463
effects	2.443806
they	3.19463
mimicking	3.19463
structural	3.19463
probiotic	3.19463
sids	3.19463
arrested	3.19463
l	3.19463
stimulus	1.12657
each	3.19463
interfering	3.19463
side	1.69527
bone	2.53386
mean	2.60402666667
series	3.19463
displacement	1.42282
attenuation	0.86932
webbed	3.19463
extract	3.19463
peaks	3.19463
rv	0.900338
gradient	1.42282
thrombin	1.42282
tonsil	1.936745
crucial	3.19463
content	3.19463
medicine	3.19463
arizona	3.19463
ascending	0.780835
frontoparietal	0.7535
mistaking	3.19463
popliteal	3.19463
mononuclear	3.19463
rubra	3.19463
equina	3.19463
exposing	3.19463
created	3.19463
denture	1.80103444444
days	3.19463
creates	3.19463
levels	2.308725
features	3.19463
grade	3.19463
vitro	3.19463
hearing	3.19463
electronic	3.19463
170	3.19463
seizures	0.865673333333
olds	3.19463
rated	3.19463
neuromuscular	3.19463
xii	3.19463
hemodynamics	3.19463
approximately	3.19463
confirming	3.19463
rates	1.42282
observations	3.19463
suppressive	3.19463
myelomonocytic	3.19463
remote	3.19463
dilated	1.43445
intestine	1.42282
serve	3.19463
ankle	2.77168833333
western	3.19463
target	3.19463
showed	3.19463
likely	3.19463
binds	3.19463
prone	3.19463
acquisition	3.19463
plasmin	1.42282
membranes	3.19463
dyns	3.19463
relatively	3.19463
psma	1.42282
-	2.92505150215
isolated	1.87309
indexes	3.19463
chest	1.42282
subjects	3.19463
shelf	3.19463
isolates	3.19463
mutants	3.19463
tibia	3.19463
memory	1.42282
checkerboards	3.19463
it	3.19463
anatomy	3.19463
involving	3.19463
carcinoma	1.92683375
immunological	3.19463
observation	3.19463
flow	1.8657725
pathohistologic	3.19463
points	3.19463
sphingomyelinase	1.42282
advisory	3.19463
basolateral	3.19463
manipulation	3.19463
ipsilateral	3.19463
papillary	0.67886
availability	3.19463
representing	3.19463
minnesota	3.19463
hemiatrophy	2.33935333333
judged	1.42282
rice	3.19463
wearing	2.308725
desorption	3.19463
dl	3.19463
wide	3.19463
haemophilus	3.19463
degradation	3.19463
aetiology	3.19463
yfp	3.19463
reversal	1.42282
despite	3.19463
report	3.19463
aroma	3.19463
emg	1.42282
abdominal	1.21232
microscopy	3.19463
public	3.19463
release	0.65698
implication	3.19463
electrodes	3.19463
clarified	3.19463
peripheral	3.19463
testing	3.19463
unexpectedly	3.19463
cytoplasmic	3.19463
result	3.19463
techniques	3.19463
capacity	3.19463
04	3.19463
05	3.19463
targets	3.19463
protected	3.19463
finger	1.42282
365	3.19463
ocular	2.6133025
assays	3.19463
nature	3.19463
inaba	3.19463
however	3.19463
carbon	3.19463
linkage	3.19463
atrial	0.69235
uncrossed	3.19463
myoclonic	0.7535
store	3.19463
disinserting	3.19463
amoxicillin	3.19463
uncertainty	3.19463
