Token,theta
Haematuria,1.2017786342371148
and,
abdominal,-0.4821347121867468
aortic,-0.45441963812481595
aneurysm,-0.4293706653250867
.,
Haematuria,1.219413651024236
and,
left,1.857872032800559
loin,1.9226765317878969
pain,1.3967206161886658
in,
a,
patient,
with,
abdominal,-0.4438962644622717
aortic,-0.4349675159865913
aneurysm,-0.43616412054432624
and,
associated,
with,
the,
radiological,
finding,
of,
a,
poorly,
or,
non,
-,
functioning,
left,
kidney,
are,
the,
pathognomonic,
features,
of,
aorto,-1.0301843791233007
-,-1.0052061807252082
left,-1.148942213838564
renal,-1.1727108272168716
vein,-1.0689505055275674
fistula,0.11821320133718573
",",
a,
condition,
in,
which,
the,
aneurysm,0.11734130753842284
leaks,
into,
an,
anomalous,
retro,
-,
aortic,
left,
renal,
vein,
.,
Acanthosis,0.17834321637571948
nigricans,0.17624588224495838
.,
Acanthosis,0.2003917676459277
nigricans,0.19807265743220084
is,
thickened,
",",
velvety,
",",
hyperpigmented,1.9890455509852365
skin,1.9059026184719923
associated,
with,
a,
variety,
of,
endocrine,-0.2911593283195575
disorders,-0.29118104265854194
",",
malignancies,-0.3208790026012789
and,
medications,
.,
The,
mechanical,
stability,
of,
internal,
fixation,
of,
fractured,0.45041006619764806
phalanges,0.45738681513154017
.,
The,
rigidity,
of,
five,
techniques,
of,
internal,
fixation,
of,
fractured,0.4522680602181321
phalanges,0.45275438401765367
is,
tested,
experimentally,
and,
compared,
.,
The,
clinical,
relevance,
is,
discussed,
.,
Renal,-0.4718553674622011
cell,-0.43882193458069757
carcinoma,-0.5585018004894656
with,
concurrent,
urothelial,-0.47210676287834236
carcinoma,-0.45803014100663586
of,0.1145099948539459
urinary,0.11003341021605068
bladder,0.11105042207541883
and,
non,-1.1894971926153446
-,-0.9701330192723554
Hodgkin,-1.1322087424156952
lymphoma,-0.9939714865574784
.,
We,
report,
a,
case,
of,
a,
71,
-,
year,
-,
old,
male,
with,
multiple,
primary,
malignancies,-0.8233548747577952
involving,
kidney,
and,
urinary,
bladder,
",",
combined,
with,
synchronous,0.17623731152970756
lymphoma,-0.4805259056273895
.,
The,
patient,
was,
admitted,
to,
the,
hospital,
because,
of,
painless,
gross,
hematuria,0.9474477840286853
.,
Examination,
revealed,
tumor,0.33628269124195426
of,0.544695873470323
the,0.5310897790661528
right,0.5451789879111276
kidney,0.5379769419476529
and,
papillary,0.17196519609662483
tumor,0.12346645358002685
in,
the,
urinary,
bladder,
and,
enlarged,1.8965017902489303
lymph,2.0143306906581637
nodes,2.068059705080981
along,
aorta,
and,
inferior,
vena,
cava,
.,
Transurethral,
resection,
of,
bladder,0.1730111167691221
tumor,0.15634113388516804
(,
TUR,
),
",",
radical,
nephrectomy,
of,
the,
right,
kidney,
and,
retroperitoneal,
lymphadenectomy,
were,
performed,
.,
Pathohistologic,
evaluation,
",",
together,
with,
immunohistochemistry,
",",
gave,
the,
patient,
the,
final,
diagnosis,
of,
renal,-0.4478229483660635
cell,-0.5082790883775274
carcinoma,-0.48239698058282926
(,
RCC,-0.49871294986560505
),
",",
urothelial,-0.4806512900355757
carcinoma,-0.5021072589221621
of,0.23225178458887033
the,0.2507729270046606
urinary,0.2282123644207064
bladder,0.25243323678807256
and,
B,-1.0727538661480667
-,-1.0483389560292047
small,-1.10928032049927
cell,-1.0174358396896885
Non,-1.160194112627737
-,-1.2191278437175017
Hodgkin,-1.148666664506878
lymphoma,-1.073057790311968
(,
B,-1.2754476296798283
-,-0.8987104517687643
CLL,-1.1324890508641103
),
.,
Scanning,
electron,
microscopy,
of,
the,
human,
zonule,
of,
the,
lens,
(,
Zonula,
ciliaris,
),
.,
In,
the,
present,
study,
eight,
human,
eyeballs,
were,
specifically,
prepared,
for,
scanning,
-,
electron,
-,
microscopic,
observation,
of,
the,
zonule,
.,
The,
zonule,
consisted,
of,
two,
main,
layers,
of,
radial,
fibres,
",",
an,
anterior,
and,
a,
posterior,
one,
",",
that,
inserted,
on,
the,
anterior,
and,
the,
posterior,
lens,
capsules,
",",
respectively,
.,
Some,
fibres,
inserted,
on,
the,
equator,
of,
the,
lens,
