Token,theta
Haematuria,-1.3431007757413715
and,
abdominal,0.44559973143113707
aortic,0.37779199002321956
aneurysm,0.36501282963864745
.,
Haematuria,-1.367966593532481
and,
left,
loin,
pain,-1.6469093428371298
in,
a,
patient,
with,
abdominal,0.45176688584785973
aortic,0.4307277926210554
aneurysm,
and,
associated,
with,
the,
radiological,
finding,
of,
a,
poorly,
or,
non,
-,
functioning,
left,
kidney,
are,
the,
pathognomonic,
features,
of,
aorto,
-,
left,
renal,
vein,
fistula,
",",
a,
condition,
in,
which,
the,
aneurysm,
leaks,
into,
an,
anomalous,
retro,
-,
aortic,
left,
renal,
vein,
.,
Acanthosis,-0.22325661624816495
nigricans,-0.20514727451861
.,
Acanthosis,-0.23921807299957323
nigricans,-0.20476968685088728
is,
thickened,
",",
velvety,
",",
hyperpigmented,
skin,
associated,
with,
a,
variety,
of,
endocrine,
disorders,
",",
malignancies,
and,
medications,
.,
The,
mechanical,
stability,
of,
internal,
fixation,
of,
fractured,-0.5065920247679437
phalanges,-0.4930904271790229
.,
The,
rigidity,
of,
five,
techniques,
of,
internal,
fixation,
of,
fractured,-0.49799792004264215
phalanges,-0.493440643870498
is,
tested,
experimentally,
and,
compared,
.,
The,
clinical,
relevance,
is,
discussed,
.,
Renal,0.4804048869870913
cell,0.4755611982152976
carcinoma,0.41697710906052576
with,
concurrent,
urothelial,0.3844851530785571
carcinoma,0.40831233944163065
of,
urinary,
bladder,
and,
non,1.1949060744007165
-,1.2701174546816598
Hodgkin,1.131408542251142
lymphoma,1.0181196192467852
.,
We,
report,
a,
case,
of,
a,
71,
-,
year,
-,
old,
male,
with,
multiple,
primary,
malignancies,
involving,
kidney,
and,
urinary,
bladder,
",",
combined,
with,
synchronous,
lymphoma,0.406005867031691
.,
The,
patient,
was,
admitted,
to,
the,
hospital,
because,
of,
painless,
gross,
hematuria,-1.0797152867734456
.,
Examination,
revealed,
tumor,-0.41464590375321203
of,
the,
right,
kidney,
and,
papillary,
tumor,
in,
the,
urinary,
bladder,
and,
enlarged,-2.4156577587898616
lymph,-2.3677721593035828
nodes,-2.4461825516971722
along,
aorta,
and,
inferior,
vena,
cava,
.,
Transurethral,
resection,
of,
bladder,
tumor,
(,
TUR,
),
",",
radical,
nephrectomy,
of,
the,
right,
kidney,
and,
retroperitoneal,
lymphadenectomy,
were,
performed,
.,
Pathohistologic,
evaluation,
",",
together,
with,
immunohistochemistry,
",",
gave,
the,
patient,
the,
final,
diagnosis,
of,
renal,0.4456421612605895
cell,0.5112129716864738
carcinoma,0.4846445040553795
(,
RCC,0.5613307678887738
),
",",
urothelial,0.30912586079357346
carcinoma,0.3202944354931997
of,
the,
urinary,
bladder,
and,
B,1.3288561306757014
-,1.026701321600696
small,1.0401474122557832
cell,1.148120318236892
Non,1.0415014620173488
-,1.012280386704149
Hodgkin,1.1573885256813286
lymphoma,0.9896587323820742
(,
B,1.114455119511952
-,1.0915224570317272
CLL,1.2431502894969548
),
.,
Scanning,
electron,
microscopy,
of,
the,
human,
zonule,
of,
the,
lens,
(,
Zonula,
ciliaris,
),
.,
In,
the,
present,
study,
eight,
human,
eyeballs,
were,
specifically,
prepared,
for,
scanning,
-,
electron,
-,
microscopic,
observation,
of,
the,
zonule,
.,
The,
zonule,
consisted,
of,
two,
main,
layers,
of,
radial,
fibres,
",",
an,
anterior,
and,
a,
posterior,
one,
",",
that,
inserted,
on,
the,
anterior,
and,
the,
posterior,
lens,
capsules,
",",
respectively,
.,
Some,
fibres,
inserted,
on,
the,
equator,
of,
the,
lens,
.,
Posterior,
zonular,
fibres,
originated,
at,
the,
pars,
plana,
",",
entered,
the,
dorsal,
part,
of,
the,
ciliary,
valleys,
and,
then,
changed,
their,
direction,
towards,
the,
posterior,
face,
of,
the,
lens,
.,
Posterior,
fibres,
inserted,
on,
the,
posterior,
capsule,
of,
the,
lens,
by,
branched,
endings,
1,
mm,
behind,
the,
equator,
of,
the,
lens,
.,
Anterior,
zonular,
fibres,
originated,
mainly,
at,
the,
pars,
plana,
and,
occasionally,
at,
the,
ciliary,
valleys,
.,
After,
running,
completely,
